age,length,weight,maturity,natmort
 1,22.8, 0.2,0.021,0.492
 2,35.1, 0.9,0.120,0.462
 3,45.0, 1.9,0.355,0.402
 4,53.0, 3.2,0.605,0.348
 5,59.5, 4.5,0.772,0.321
 6,64.7, 5.9,0.866,0.327
 7,68.9, 7.2,0.919,0.357
 8,72.3, 8.4,0.949,0.399
 9,75.0, 9.5,0.967,0.438
10,77.2,10.4,0.979,0.463
11,79.0,11.3,0.986,0.465
12,80.4,12.0,0.992,0.442
13,81.6,12.6,0.995,0.395
14,82.5,13.2,0.998,0.342
15,83.3,13.7,0.999,0.303
16,83.9,14.2,1.000,0.288
