fishery,age,sel
1,1,0.0068
1,2,0.0949
1,3,0.9972
1,4,1
1,5,0.5693
1,6,0.4132
1,7,0.4044
1,8,0.4407
1,9,0.4879
1,10,0.531
1,11,0.564
1,12,0.5862
1,13,0.5991
1,14,0.6052
1,15,0.6069
1,16,0.6069
2,1,0.0092
2,2,0.0733
2,3,0.6262
2,4,1
2,5,0.8129
2,6,0.5846
2,7,0.4427
2,8,0.3601
2,9,0.3121
2,10,0.2841
2,11,0.2679
2,12,0.2589
2,13,0.2542
2,14,0.2522
2,15,0.2516
2,16,0.2516
3,1,0
3,2,0
3,3,0.0074
3,4,0.0171
3,5,0.0679
3,6,0.2048
3,7,0.4016
3,8,0.5933
3,9,0.7443
3,10,0.8491
3,11,0.9163
3,12,0.9571
3,13,0.9806
3,14,0.9935
3,15,1
3,16,1
4,1,0.0068
4,2,0.0949
4,3,0.9972
4,4,1
4,5,0.5693
4,6,0.4132
4,7,0.4044
4,8,0.4407
4,9,0.4879
4,10,0.531
4,11,0.564
4,12,0.5862
4,13,0.5991
4,14,0.6052
4,15,0.6069
4,16,0.6069
5,1,0.0092
5,2,0.0733
5,3,0.6262
5,4,1
5,5,0.8129
5,6,0.5846
5,7,0.4427
5,8,0.3601
5,9,0.3121
5,10,0.2841
5,11,0.2679
5,12,0.2589
5,13,0.2542
5,14,0.2522
5,15,0.2516
5,16,0.2516
6,1,0
6,2,0
6,3,0.0074
6,4,0.0171
6,5,0.0679
6,6,0.2048
6,7,0.4016
6,8,0.5933
6,9,0.7443
6,10,0.8491
6,11,0.9163
6,12,0.9571
6,13,0.9806
6,14,0.9935
6,15,1
6,16,1
7,1,0.0068
7,2,0.0949
7,3,0.9972
7,4,1
7,5,0.5693
7,6,0.4132
7,7,0.4044
7,8,0.4407
7,9,0.4879
7,10,0.531
7,11,0.564
7,12,0.5862
7,13,0.5991
7,14,0.6052
7,15,0.6069
7,16,0.6069
8,1,0.0092
8,2,0.0733
8,3,0.6262
8,4,1
8,5,0.8129
8,6,0.5846
8,7,0.4427
8,8,0.3601
8,9,0.3121
8,10,0.2841
8,11,0.2679
8,12,0.2589
8,13,0.2542
8,14,0.2522
8,15,0.2516
8,16,0.2516
9,1,0
9,2,0
9,3,0.0074
9,4,0.0171
9,5,0.0679
9,6,0.2048
9,7,0.4016
9,8,0.5933
9,9,0.7443
9,10,0.8491
9,11,0.9163
9,12,0.9571
9,13,0.9806
9,14,0.9935
9,15,1
9,16,1
10,1,0.1192
10,2,0.4682
10,3,0.7887
10,4,0.377
10,5,0.1583
10,6,0.104
10,7,0.1103
10,8,0.167
10,9,0.2882
10,10,0.4631
10,11,0.6539
10,12,0.817
10,13,0.9276
10,14,0.9845
10,15,1
10,16,1
11,1,0.0642
11,2,1
11,3,0.9094
11,4,0.1776
11,5,0.1067
11,6,0.0981
11,7,0.0826
11,8,0.0609
11,9,0.0453
11,10,0.036
11,11,0.0307
11,12,0.0278
11,13,0.0263
11,14,0.0256
11,15,0.0254
11,16,0.0254
12,1,0.5396
12,2,0.977
12,3,1
12,4,0.6192
12,5,0.3981
12,6,0.2945
12,7,0.2484
12,8,0.2298
12,9,0.2224
12,10,0.2197
12,11,0.2189
12,12,0.2188
12,13,0.2188
12,14,0.2189
12,15,0.2189
12,16,0.2189
13,1,0.0397
13,2,0.7741
13,3,1
13,4,0.8146
13,5,0.639
13,6,0.3599
13,7,0.2173
13,8,0.1655
13,9,0.1512
13,10,0.1489
13,11,0.1504
13,12,0.1525
13,13,0.1541
13,14,0.155
13,15,0.1553
13,16,0.1553
14,1,0.0233
14,2,0.1699
14,3,1
14,4,0.9794
14,5,0.5999
14,6,0.4256
14,7,0.3745
14,8,0.3636
14,9,0.3661
14,10,0.3719
14,11,0.3775
14,12,0.3816
14,13,0.3841
14,14,0.3853
14,15,0.3856
14,16,0.3856
15,1,0.0076
15,2,0.0442
15,3,0.3623
15,4,0.8726
15,5,1
15,6,0.7962
15,7,0.5606
15,8,0.4052
15,9,0.3151
15,10,0.2642
15,11,0.2356
15,12,0.2198
15,13,0.2117
15,14,0.2081
15,15,0.2072
15,16,0.2072
16,1,0.0082
16,2,0.2098
16,3,1
16,4,0.4499
16,5,0.1387
16,6,0.059
16,7,0.0398
16,8,0.0375
16,9,0.04
16,10,0.0437
16,11,0.0471
16,12,0.0496
16,13,0.0512
16,14,0.0519
16,15,0.0521
16,16,0.0521
17,1,0
17,2,0
17,3,0.0686
17,4,0.1243
17,5,0.3133
17,6,0.6077
17,7,0.8355
17,8,0.9497
17,9,0.9917
17,10,1
17,11,0.9959
17,12,0.9891
17,13,0.9831
17,14,0.9789
17,15,0.9764
17,16,0.9764
18,1,0.0023
18,2,0.0359
18,3,0.581
18,4,1
18,5,0.73
18,6,0.4751
18,7,0.3404
18,8,0.2689
18,9,0.2295
18,10,0.2073
18,11,0.1947
18,12,0.1878
18,13,0.1842
18,14,0.1827
18,15,0.1823
18,16,0.1823
19,1,0.0233
19,2,0.1699
19,3,1
19,4,0.9794
19,5,0.5999
19,6,0.4256
19,7,0.3745
19,8,0.3636
19,9,0.3661
19,10,0.3719
19,11,0.3775
19,12,0.3816
19,13,0.3841
19,14,0.3853
19,15,0.3856
19,16,0.3856
20,1,0.0076
20,2,0.0442
20,3,0.3623
20,4,0.8726
20,5,1
20,6,0.7962
20,7,0.5606
20,8,0.4052
20,9,0.3151
20,10,0.2642
20,11,0.2356
20,12,0.2198
20,13,0.2117
20,14,0.2081
20,15,0.2072
20,16,0.2072
21,1,0
21,2,0
21,3,0.0686
21,4,0.1243
21,5,0.3133
21,6,0.6077
21,7,0.8355
21,8,0.9497
21,9,0.9917
21,10,1
21,11,0.9959
21,12,0.9891
21,13,0.9831
21,14,0.9789
21,15,0.9764
21,16,0.9764
22,1,0.0068
22,2,0.0949
22,3,0.9972
22,4,1
22,5,0.5693
22,6,0.4132
22,7,0.4044
22,8,0.4407
22,9,0.4879
22,10,0.531
22,11,0.564
22,12,0.5862
22,13,0.5991
22,14,0.6052
22,15,0.6069
22,16,0.6069
23,1,0
23,2,0
23,3,0.0074
23,4,0.0171
23,5,0.0679
23,6,0.2048
23,7,0.4016
23,8,0.5933
23,9,0.7443
23,10,0.8491
23,11,0.9163
23,12,0.9571
23,13,0.9806
23,14,0.9935
23,15,1
23,16,1
24,1,0.0068
24,2,0.0949
24,3,0.9972
24,4,1
24,5,0.5693
24,6,0.4132
24,7,0.4044
24,8,0.4407
24,9,0.4879
24,10,0.531
24,11,0.564
24,12,0.5862
24,13,0.5991
24,14,0.6052
24,15,0.6069
24,16,0.6069
25,1,0.0233
25,2,0.1699
25,3,1
25,4,0.9794
25,5,0.5999
25,6,0.4256
25,7,0.3745
25,8,0.3636
25,9,0.3661
25,10,0.3719
25,11,0.3775
25,12,0.3816
25,13,0.3841
25,14,0.3853
25,15,0.3856
25,16,0.3856
26,1,0.0076
26,2,0.0442
26,3,0.3623
26,4,0.8726
26,5,1
26,6,0.7962
26,7,0.5606
26,8,0.4052
26,9,0.3151
26,10,0.2642
26,11,0.2356
26,12,0.2198
26,13,0.2117
26,14,0.2081
26,15,0.2072
26,16,0.2072
27,1,0
27,2,0
27,3,0.0686
27,4,0.1243
27,5,0.3133
27,6,0.6077
27,7,0.8355
27,8,0.9497
27,9,0.9917
27,10,1
27,11,0.9959
27,12,0.9891
27,13,0.9831
27,14,0.9789
27,15,0.9764
27,16,0.9764
28,1,0.0068
28,2,0.0949
28,3,0.9972
28,4,1
28,5,0.5693
28,6,0.4132
28,7,0.4044
28,8,0.4407
28,9,0.4879
28,10,0.531
28,11,0.564
28,12,0.5862
28,13,0.5991
28,14,0.6052
28,15,0.6069
28,16,0.6069
29,1,0.0233
29,2,0.1699
29,3,1
29,4,0.9794
29,5,0.5999
29,6,0.4256
29,7,0.3745
29,8,0.3636
29,9,0.3661
29,10,0.3719
29,11,0.3775
29,12,0.3816
29,13,0.3841
29,14,0.3853
29,15,0.3856
29,16,0.3856
30,1,0.0076
30,2,0.0442
30,3,0.3623
30,4,0.8726
30,5,1
30,6,0.7962
30,7,0.5606
30,8,0.4052
30,9,0.3151
30,10,0.2642
30,11,0.2356
30,12,0.2198
30,13,0.2117
30,14,0.2081
30,15,0.2072
30,16,0.2072
31,1,0
31,2,0
31,3,0.051
31,4,0.1022
31,5,0.2978
31,6,0.6277
31,7,0.8754
31,8,0.9794
31,9,1
31,10,0.9882
31,11,0.9691
31,12,0.9521
31,13,0.9398
31,14,0.9318
31,15,0.9273
31,16,0.9273
32,1,0.0031
32,2,0.0689
32,3,1
32,4,0.8552
32,5,0.4058
32,6,0.2857
32,7,0.3051
32,8,0.3714
32,9,0.4525
32,10,0.5286
32,11,0.5889
32,12,0.6303
32,13,0.6547
32,14,0.6664
32,15,0.6694
32,16,0.6694
33,1,0.0031
33,2,0.0689
33,3,1
33,4,0.8552
33,5,0.4058
33,6,0.2857
33,7,0.3051
33,8,0.3714
33,9,0.4525
33,10,0.5286
33,11,0.5889
33,12,0.6303
33,13,0.6547
33,14,0.6664
33,15,0.6694
33,16,0.6694
34,1,0.0031
34,2,0.0689
34,3,1
34,4,0.8552
34,5,0.4058
34,6,0.2857
34,7,0.3051
34,8,0.3714
34,9,0.4525
34,10,0.5286
34,11,0.5889
34,12,0.6303
34,13,0.6547
34,14,0.6664
34,15,0.6694
34,16,0.6694
35,1,0.0031
35,2,0.0689
35,3,1
35,4,0.8552
35,5,0.4058
35,6,0.2857
35,7,0.3051
35,8,0.3714
35,9,0.4525
35,10,0.5286
