age,year,area,f
1,1972,1,0.0035153613
2,1972,1,0.043243635
3,1972,1,0.4391075
4,1972,1,0.47971137
5,1972,1,0.29902325
6,1972,1,0.21692468
7,1972,1,0.199232
8,1972,1,0.20464718
9,1972,1,0.21764757
10,1972,1,0.23111376
11,1972,1,0.24196669
12,1972,1,0.24942233
13,1972,1,0.25383396
14,1972,1,0.25594861
15,1972,1,0.25651783
16,1972,1,0.25651783
1,1973,1,0.0052372268
2,1973,1,0.065683322
3,1973,1,0.67073236
4,1973,1,0.72262909
5,1973,1,0.44428376
6,1973,1,0.32221674
7,1973,1,0.29860917
8,1973,1,0.3094646
9,1973,1,0.33121101
10,1973,1,0.35312269
11,1973,1,0.37060468
12,1973,1,0.38255654
13,1973,1,0.38960888
14,1973,1,0.39298104
15,1973,1,0.39388276
16,1973,1,0.39388276
1,1974,1,0.0058711583
2,1974,1,0.076012255
3,1974,1,0.78320424
4,1974,1,0.82515813
5,1974,1,0.49592748
6,1974,1,0.35983424
7,1974,1,0.33898198
8,1974,1,0.356823
9,1974,1,0.38601343
10,1974,1,0.4142931
11,1974,1,0.43651406
12,1974,1,0.45159389
13,1974,1,0.4604559
14,1974,1,0.4646824
15,1974,1,0.46580864
16,1974,1,0.46580864
1,1975,1,0.0053172376
2,1975,1,0.070820362
3,1975,1,0.73535668
4,1975,1,0.75985689
5,1975,1,0.44742104
6,1975,1,0.32490936
7,1975,1,0.31086586
8,1975,1,0.3319093
9,1975,1,0.36248091
10,1975,1,0.39127541
11,1975,1,0.41364087
12,1975,1,0.42873255
13,1975,1,0.43757452
14,1975,1,0.44178475
15,1975,1,0.44290638
16,1975,1,0.44290638
1,1976,1,0.0078210639
2,1976,1,0.099704069
3,1976,1,1.0228856
4,1976,1,1.08936106
5,1976,1,0.66198063
6,1976,1,0.48010693
7,1976,1,0.44853114
8,1976,1,0.4684645
9,1976,1,0.50410544
10,1976,1,0.53928019
11,1976,1,0.56712293
12,1976,1,0.58608554
13,1976,1,0.59725057
14,1976,1,0.60258079
15,1976,1,0.60400133
16,1976,1,0.60400133
1,1977,1,0.0141045496
2,1977,1,0.187047252
3,1977,1,1.939913
4,1977,1,2.01040126
5,1977,1,1.18730822
6,1977,1,0.86156834
7,1977,1,0.82167003
8,1977,1,0.87484259
9,1977,1,0.95373423
10,1977,1,1.02845787
11,1977,1,1.08664023
12,1977,1,1.12594727
13,1977,1,1.14898787
14,1977,1,1.15995587
15,1977,1,1.16286753
16,1977,1,1.16286753
1,1978,1,0.019375298
2,1978,1,0.25714232
3,1978,1,2.6674318
4,1978,1,2.7629145
5,1978,1,1.6308018
6,1978,1,1.1833639
7,1978,1,1.1289719
8,1978,1,1.202437
9,1978,1,1.3111708
10,1978,1,1.4140999
11,1978,1,1.494225
12,1978,1,1.5483499
13,1978,1,1.580074
14,1978,1,1.5951746
15,1978,1,1.5991821
16,1978,1,1.5991821
1,1979,1,0.017140259
2,1979,1,0.23428853
3,1979,1,2.4493052
4,1979,1,2.4873434
5,1979,1,1.4367002
6,1979,1,1.043283
7,1979,1,1.0116098
8,1979,1,1.0932025
9,1979,1,1.2034569
10,1979,1,1.30535
11,1979,1,1.3838694
12,1979,1,1.4366419
13,1979,1,1.4674885
14,1979,1,1.482149
15,1979,1,1.4860367
16,1979,1,1.4860367
1,1980,1,0.016766401
2,1980,1,0.22067122
3,1980,1,2.2839807
4,1980,1,2.3792189
5,1980,1,1.41296945
6,1980,1,1.02539732
7,1980,1,0.97425853
8,1980,1,1.03370769
9,1980,1,1.12428472
10,1980,1,1.21062209
11,1980,1,1.27801999
12,1980,1,1.32361106
13,1980,1,1.3503554
14,1980,1,1.36309487
15,1980,1,1.3664828
16,1980,1,1.3664828
1,1981,1,0.014959066
2,1981,1,0.18078469
3,1981,1,1.8259923
4,1981,1,2.0207539
5,1981,1,1.274874
6,1981,1,0.92354653
7,1981,1,0.83926287
8,1981,1,0.85326727
9,1981,1,0.90100021
10,1981,1,0.95252589
11,1981,1,0.99467786
12,1981,1,1.02383626
13,1981,1,1.04114631
14,1981,1,1.0494492
15,1981,1,1.0516694
16,1981,1,1.0516694
1,1982,1,0.015328676
2,1982,1,0.2031634
3,1982,1,2.1067433
4,1982,1,2.1841705
5,1982,1,1.29058893
6,1982,1,0.93680147
7,1982,1,0.8935368
8,1982,1,0.95140821
9,1982,1,1.03719566
10,1982,1,1.11842006
11,1982,1,1.18165007
12,1982,1,1.22436275
13,1982,1,1.24940055
14,1982,1,1.26132303
15,1982,1,1.26449376
16,1982,1,1.26449376
1,1983,1,0.0098015614
2,1983,1,0.129473245
3,1983,1,1.34139528
4,1983,1,1.39387931
5,1983,1,0.82569029
6,1983,1,0.59946028
7,1983,1,0.57095372
8,1983,1,0.60710058
9,1983,1,0.66121704
10,1983,1,0.71257268
11,1983,1,0.75258696
12,1983,1,0.77962933
13,1983,1,0.7954865
14,1983,1,0.80304049
15,1983,1,0.80505302
16,1983,1,0.80505302
1,1984,1,0.0144650925
2,1984,1,0.171778498
3,1984,1,1.72573864
4,1984,1,1.9347598
5,1984,1,1.23534179
6,1984,1,0.89434
7,1984,1,0.80521525
8,1984,1,0.81107013
9,1984,1,0.85073197
10,1984,1,0.89556832
11,1984,1,0.93282339
12,1984,1,0.95877745
13,1984,1,0.9742404
14,1984,1,0.98166937
15,1984,1,0.98365424
16,1984,1,0.98365424
1,1985,1,0.022986866
2,1985,1,0.26189664
3,1985,1,2.5966364
4,1985,1,3.0043549
5,1985,1,1.9728188
6,1985,1,1.426952
7,1985,1,1.2584795
8,1985,1,1.2406868
9,1985,1,1.2807657
10,1985,1,1.3343367
11,1985,1,1.3810834
12,1985,1,1.4143516
13,1985,1,1.434387
14,1985,1,1.4440684
15,1985,1,1.4466628
16,1985,1,1.4466628
1,1986,1,0.012036014
2,1986,1,0.141438
3,1986,1,1.4162893
4,1986,1,1.6004076
5,1986,1,1.02926513
6,1986,1,0.74511583
7,1986,1,0.66751734
8,1986,1,0.66890964
9,1986,1,0.69895432
10,1986,1,0.73397281
11,1986,1,0.76335324
12,1986,1,0.78391063
13,1986,1,0.79618649
14,1986,1,0.80209335
15,1986,1,0.80367522
16,1986,1,0.80367522
1,1987,1,0.0087639479
2,1987,1,0.104741743
3,1987,1,1.05434166
4,1987,1,1.1764384
5,1987,1,0.747887
6,1987,1,0.54155504
7,1987,1,0.48921701
8,1987,1,0.49443822
9,1987,1,0.51988332
10,1987,1,0.54813591
11,1987,1,0.57147217
12,1987,1,0.58768611
13,1987,1,0.5973331
14,1987,1,0.60196475
15,1987,1,0.60320249
16,1987,1,0.60320249
1,1988,1,0.009631086
2,1988,1,0.1064388
3,1988,1,1.0446538
4,1988,1,1.2379326
5,1988,1,0.8295339
6,1988,1,0.59979841
7,1988,1,0.52145871
8,1988,1,0.50616979
9,1988,1,0.51631453
10,1988,1,0.53362569
11,1988,1,0.54958707
12,1988,1,0.56120209
13,1988,1,0.56827531
14,1988,1,0.57171527
15,1988,1,0.57264317
16,1988,1,0.57264317
1,1989,1,0.00877725
2,1989,1,0.102638
3,1989,1,1.0261783
4,1989,1,1.1638949
5,1989,1,0.7510458
6,1989,1,0.54367439
7,1989,1,0.48589779
8,1989,1,0.48571259
9,1989,1,0.50660381
10,1989,1,0.53135384
11,1989,1,0.55222367
12,1989,1,0.56685883
13,1989,1,0.57560853
14,1989,1,0.57982144
15,1989,1,0.58095082
16,1989,1,0.58095082
1,1990,1,0.00939203
2,1990,1,0.11079578
3,1990,1,1.1108019
4,1990,1,1.2515624
5,1990,1,0.80282648
6,1990,1,0.58132602
7,1990,1,0.52191897
8,1990,1,0.52415761
9,1990,1,0.54857179
10,1990,1,0.57663824
11,1990,1,0.60008269
12,1990,1,0.61645463
13,1990,1,0.62622203
14,1990,1,0.6309203
15,1990,1,0.63218004
16,1990,1,0.63218004
1,1991,1,0.010940143
