year,area,stage,f
1972,1,adult,0.254790274072078
1973,1,adult,0.387393546210401
1974,1,adult,0.45046696098345
1975,1,adult,0.422023987675889
1976,1,adult,0.589046661096039
1977,1,adult,1.11140734231923
1978,1,adult,1.52790221653494
1979,1,adult,1.39927885350897
1980,1,adult,1.31060090782031
1981,1,adult,1.05748758619488
1982,1,adult,1.20836274049275
1983,1,adult,0.770339004543838
1984,1,adult,1.00031889373633
1985,1,adult,1.51184469512424
1986,1,adult,0.822470593215513
1987,1,adult,0.610898133720822
1988,1,adult,0.611093098930869
1989,1,adult,0.596363745556924
1990,1,adult,0.645176808726136
1991,1,adult,0.746677016331958
1992,1,adult,0.608431157913613
1993,1,adult,0.797646889377992
1994,1,adult,0.616068100340437
1995,1,adult,0.575919588267484
1996,1,adult,0.718450157301633
1997,1,adult,0.579331932341007
1998,1,adult,0.659546137581543
1999,1,adult,0.935198413023224
2000,1,adult,0.803753514646379
2001,1,adult,0.514395822391342
2002,1,adult,0.468851592520562
2003,1,adult,0.887945416425501
2004,1,adult,0.727484678133532
2005,1,adult,0.475488693065592
2006,1,adult,0.40850446642941
2007,1,adult,0.805850278442686
2008,1,adult,0.482341510298637
2009,1,adult,1.02628640984876
2010,1,adult,0.730382680269654
2011,1,adult,0.6045909749639
2012,1,adult,0.801994410212503
2013,1,adult,0.76084480435978
2014,1,adult,0.61816392368366
2015,1,adult,0.480816903834226
2016,1,adult,0.324002387730917
2017,1,adult,0.569139876794909
2018,1,adult,0.385012503303616
2019,1,adult,0.384774289054581
2020,1,adult,0.482849770247681
2021,1,adult,0.33764918690109
1972,2,adult,0.196662509925818
1973,2,adult,0.204403814768286
1974,2,adult,0.104513038670891
1975,2,adult,0.135882806382117
1976,2,adult,0.130640660687659
1977,2,adult,0.132771325655072
1978,2,adult,0.138174473221998
1979,2,adult,0.303729321266308
1980,2,adult,0.283282947282742
1981,2,adult,0.163574257614814
1982,2,adult,0.241627067960443
1983,2,adult,0.214531429526752
1984,2,adult,0.369546717874492
1985,2,adult,0.111626496591745
1986,2,adult,0.170162660058895
1987,2,adult,0.164692111267047
1988,2,adult,0.209253674663593
1989,2,adult,0.223962201515827
1990,2,adult,0.162563024186532
1991,2,adult,0.234394992848065
1992,2,adult,0.16205769312753
1993,2,adult,0.30131053680548
1994,2,adult,0.246271179617914
1995,2,adult,0.210563294428426
1996,2,adult,0.0985682256197544
1997,2,adult,0.301034049519567
1998,2,adult,0.344660570671007
1999,2,adult,0.276940015698963
2000,2,adult,0.271677861601224
2001,2,adult,0.195742311404967
2002,2,adult,0.183746504250535
2003,2,adult,0.249105622786699
2004,2,adult,0.240354498618465
2005,2,adult,0.300858046668835
2006,2,adult,0.281872141452462
2007,2,adult,0.307034529188581
2008,2,adult,0.411716814412891
2009,2,adult,0.205118556160071
2010,2,adult,0.249304693508642
2011,2,adult,0.148415597753605
2012,2,adult,0.140606949208313
2013,2,adult,0.193285492157638
2014,2,adult,0.238404109822525
2015,2,adult,0.194926337253878
2016,2,adult,0.181254661814413
2017,2,adult,0.141337149841571
2018,2,adult,0.107321751359543
2019,2,adult,0.116165722034714
