year,season,area,ssb
2002,1,2,214050
2003,1,2,206060
2004,1,2,173030
2005,1,2,194930
2006,1,2,230690
2007,1,2,168620
2008,1,2,139800
2009,1,2,107550
2010,1,2,133970
2011,1,2,179940
2012,1,2,161520
2013,1,2,180420
2014,1,2,122620
2015,1,2,119060
2016,1,2,131520
2017,1,2,142430
2018,1,2,155800
2019,1,2,224220
2020,1,2,200280
2021,1,2,157130
1972,2,2,254400
1973,2,2,302740
1974,2,2,396750
1975,2,2,321380
1976,2,2,286170
1977,2,2,247620
1978,2,2,276000
1979,2,2,239230
1980,2,2,236940
1981,2,2,199130
1982,2,2,185040
1983,2,2,224240
1984,2,2,323200
1985,2,2,234660
1986,2,2,328450
1987,2,2,401790
1988,2,2,411500
1989,2,2,312230
1990,2,2,237530
1991,2,2,292760
1992,2,2,324160
1993,2,2,349630
1994,2,2,309390
1995,2,2,341800
1996,2,2,311280
1997,2,2,334640
1998,2,2,389730
1999,2,2,328870
2000,2,2,334580
2001,2,2,384670
2002,2,2,339890
2003,2,2,361600
2004,2,2,266000
2005,2,2,385540
2006,2,2,379810
2007,2,2,278170
2008,2,2,249300
2009,2,2,181300
2010,2,2,258380
2011,2,2,304650
2012,2,2,262440
2013,2,2,301030
2014,2,2,188390
2015,2,2,236850
2016,2,2,209130
2017,2,2,234100
2018,2,2,264200
2019,2,2,361850
2020,2,2,254760
2021,2,2,305090
1972,3,2,153340
1973,3,2,198790
1974,3,2,247030
1975,3,2,184430
1976,3,2,187210
1977,3,2,147920
1978,3,2,178710
1979,3,2,140890
1980,3,2,164140
1981,3,2,121710
1982,3,2,124700
1983,3,2,161850
1984,3,2,213120
1985,3,2,140420
1986,3,2,251980
1987,3,2,248210
1988,3,2,263230
1989,3,2,182220
1990,3,2,145810
1991,3,2,214540
1992,3,2,213510
1993,3,2,243040
1994,3,2,187960
1995,3,2,241510
1996,3,2,188620
1997,3,2,219610
1998,3,2,255750
1999,3,2,212940
2000,3,2,223880
2001,3,2,246070
2002,3,2,217520
2003,3,2,241470
2004,3,2,161810
2005,3,2,275320
2006,3,2,235460
2007,3,2,166960
2008,3,2,144210
2009,3,2,113550
2010,3,2,191070
2011,3,2,197410
2012,3,2,178620
2013,3,2,181110
2014,3,2,109520
2015,3,2,159670
2016,3,2,135280
2017,3,2,151770
2018,3,2,187610
2019,3,2,245430
2020,3,2,137270
2021,3,2,215670
1972,4,2,196900
1973,4,2,246590
1974,4,2,267520
1975,4,2,192370
1976,4,2,202070
1977,4,2,157460
1978,4,2,187610
1979,4,2,129020
1980,4,2,161520
1981,4,2,130900
1982,4,2,135130
1983,4,2,186270
1984,4,2,182350
1985,4,2,157480
1986,4,2,282250
1987,4,2,269150
1988,4,2,248990
1989,4,2,177470
1990,4,2,156660
1991,4,2,234630
1992,4,2,227920
1993,4,2,234870
1994,4,2,195450
1995,4,2,253240
1996,4,2,206700
1997,4,2,224070
1998,4,2,232670
1999,4,2,196110
2000,4,2,244260
2001,4,2,241790
2002,4,2,215330
2003,4,2,212900
2004,4,2,174910
2005,4,2,256290
2006,4,2,191060
2007,4,2,147890
2008,4,2,122760
2009,4,2,126630
2010,4,2,194200
2011,4,2,190650
2012,4,2,186910
2013,4,2,156070
2014,4,2,111300
2015,4,2,153010
2016,4,2,150410
2017,4,2,162100
2018,4,2,225440
2019,4,2,251360
2020,4,2,145340
2021,4,2,233390
1972,1,3,69885
1973,1,3,66670
1974,1,3,77649
1975,1,3,74130
1976,1,3,72101
1977,1,3,71739
1978,1,3,71139
1979,1,3,70849
1980,1,3,46766
1981,1,3,60551
1982,1,3,64596
1983,1,3,76578
1984,1,3,97368
1985,1,3,91064
1986,1,3,119360
1987,1,3,149540
1988,1,3,123560
1989,1,3,119020
1990,1,3,106860
1991,1,3,102280
1992,1,3,94926
1993,1,3,99171
1994,1,3,97878
1995,1,3,98142
1996,1,3,95954
1997,1,3,85482
1998,1,3,103100
1999,1,3,97097
2000,1,3,88583
2001,1,3,99631
2002,1,3,104060
2003,1,3,83742
2004,1,3,88115
2005,1,3,98715
2006,1,3,102620
2007,1,3,111660
2008,1,3,88927
2009,1,3,71407
2010,1,3,64836
2011,1,3,78293
2012,1,3,98042
2013,1,3,95629
2014,1,3,85940
2015,1,3,84439
2016,1,3,72954
2017,1,3,72940
2018,1,3,79209
2019,1,3,99658
2020,1,3,83766
2021,1,3,118380
1972,2,3,65095
1973,2,3,92547
1974,2,3,103730
1975,2,3,99634
1976,2,3,86299
1977,2,3,88927
1978,2,3,87905
1979,2,3,77607
1980,2,3,60991
1981,2,3,81063
1982,2,3,84379
1983,2,3,97928
1984,2,3,121050
1985,2,3,109000
1986,2,3,134950
1987,2,3,164000
1988,2,3,136800
1989,2,3,151340
1990,2,3,115550
1991,2,3,114530
1992,2,3,117170
1993,2,3,117530
1994,2,3,123860
1995,2,3,116710
1996,2,3,119010
1997,2,3,110270
1998,2,3,121070
1999,2,3,121240
2000,2,3,113840
2001,2,3,124560
2002,2,3,123750
2003,2,3,100540
2004,2,3,118350
2005,2,3,121380
2006,2,3,142000
2007,2,3,137910
2008,2,3,106210
2009,2,3,89477
2010,2,3,86424
2011,2,3,112030
2012,2,3,118690
2013,2,3,118630
2014,2,3,103730
2015,2,3,101110
2016,2,3,94113
2017,2,3,93546
2018,2,3,111460
2019,2,3,125580
2020,2,3,104040
2021,2,3,144270
1972,3,3,106240
1973,3,3,143070
1974,3,3,157030
1975,3,3,143070
1976,3,3,126590
1977,3,3,128950
1978,3,3,135340
1979,3,3,107870
1980,3,3,105230
1981,3,3,119850
1982,3,3,133420
1983,3,3,155160
1984,3,3,181210
1985,3,3,173060
1986,3,3,218740
1987,3,3,244900
1988,3,3,199170
1989,3,3,212680
1990,3,3,164160
1991,3,3,167410
1992,3,3,173490
1993,3,3,172210
1994,3,3,183410
1995,3,3,172490
1996,3,3,172580
1997,3,3,178700
1998,3,3,185930
1999,3,3,177660
2000,3,3,178340
2001,3,3,193930
2002,3,3,174300
2003,3,3,159820
2004,3,3,185680
2005,3,3,187190
2006,3,3,222070
2007,3,3,195960
2008,3,3,148790
2009,3,3,131330
2010,3,3,137560
2011,3,3,181370
2012,3,3,174550
2013,3,3,181750
2014,3,3,157490
2015,3,3,150800
2016,3,3,140530
2017,3,3,140560
2018,3,3,179160
2019,3,3,176880
2020,3,3,159890
2021,3,3,219090
1972,4,3,118130
1973,4,3,148130
1974,4,3,149180
1975,4,3,136310
1976,4,3,136090
1977,4,3,128070
1978,4,3,135230
1979,4,3,96184
1980,4,3,105200
1981,4,3,115620
1982,4,3,142510
1983,4,3,170750
1984,4,3,176260
1985,4,3,203500
1986,4,3,265020
1987,4,3,246960
1988,4,3,200900
1989,4,3,213520
1990,4,3,184440
1991,4,3,174370
1992,4,3,177260
1993,4,3,174570
1994,4,3,184780
1995,4,3,181010
1996,4,3,179790
1997,4,3,197840
1998,4,3,184510
1999,4,3,169290
2000,4,3,190160
2001,4,3,197010
2002,4,3,164510
2003,4,3,157460
2004,4,3,184110
2005,4,3,185800
2006,4,3,214030
2007,4,3,182720
2008,4,3,141990
2009,4,3,125320
2010,4,3,137570
2011,4,3,184900
2012,4,3,173430
2013,4,3,173350
2014,4,3,158810
2015,4,3,143760
2016,4,3,136760
2017,4,3,140400
2018,4,3,185060
2019,4,3,165480
2020,4,3,188690
2021,4,3,221250
1972,1,4,510280
1973,1,4,498320
1974,1,4,617420
1975,1,4,663610
1976,1,4,512600
1977,1,4,502450
1978,1,4,461010
1979,1,4,512760
1980,1,4,416150
1981,1,4,516930
1982,1,4,402640
1983,1,4,438050
1984,1,4,607470
1985,1,4,623870
1986,1,4,558570
1987,1,4,808500
1988,1,4,778080
1989,1,4,755400
1990,1,4,577910
1991,1,4,509300
1992,1,4,654170
1993,1,4,692130
1994,1,4,734680
1995,1,4,620830
1996,1,4,692720
1997,1,4,571970
1998,1,4,646540
1999,1,4,733010
2000,1,4,630700
2001,1,4,684090
2002,1,4,760600
2003,1,4,636740
2004,1,4,714010
2005,1,4,683890
2006,1,4,818080
2007,1,4,814580
2008,1,4,581620
2009,1,4,505950
2010,1,4,478470
2011,1,4,626220
2012,1,4,680450
2013,1,4,608710
2014,1,4,610610
2015,1,4,586600
2016,1,4,582000
2017,1,4,532980
2018,1,4,548140
2019,1,4,694790
2020,1,4,670880
2021,1,4,676310
1972,2,4,499720
1973,2,4,466640
1974,2,4,590280
1975,2,4,591000
1976,2,4,452250
1977,2,4,474440
1978,2,4,453400
1979,2,4,456330
1980,2,4,408390
1981,2,4,471240
1982,2,4,373020
1983,2,4,468770
1984,2,4,591250
1985,2,4,593690
1986,2,4,583200
1987,2,4,781510
1988,2,4,736750
1989,2,4,684040
1990,2,4,547630
1991,2,4,499540
1992,2,4,636940
1993,2,4,631280
1994,2,4,664170
1995,2,4,589200
1996,2,4,635290
1997,2,4,538900
1998,2,4,619440
1999,2,4,670840
2000,2,4,594470
2001,2,4,660670
2002,2,4,677910
2003,2,4,608190
2004,2,4,681440
2005,2,4,660640
2006,2,4,816800
2007,2,4,727300
2008,2,4,557550
2009,2,4,489390
2010,2,4,498080
2011,2,4,624530
2012,2,4,636720
2013,2,4,617860
2014,2,4,587300
2015,2,4,566940
2016,2,4,549160
2017,2,4,503390
2018,2,4,582500
2019,2,4,651410
2020,2,4,589410
2021,2,4,689320
1972,3,4,587020
1973,3,4,613640
1974,3,4,760240
1975,3,4,682370
1976,3,4,561620
1977,3,4,553970
1978,3,4,589440
1979,3,4,522270
1980,3,4,552250
1981,3,4,519200
1982,3,4,453930
1983,3,4,616830
1984,3,4,741730
1985,3,4,679010
1986,3,4,810890
1987,3,4,935640
1988,3,4,906700
1989,3,4,757330
1990,3,4,625730
1991,3,4,662470
1992,3,4,784350
1993,3,4,805450
1994,3,4,751880
1995,3,4,764510
1996,3,4,726770
1997,3,4,702430
1998,3,4,810420
1999,3,4,787730
2000,3,4,756530
2001,3,4,869810
2002,3,4,781720
2003,3,4,793850
2004,3,4,804760
2005,3,4,883220
2006,3,4,1018100
2007,3,4,791060
2008,3,4,649790
2009,3,4,552750
2010,3,4,655050
2011,3,4,782900
2012,3,4,732400
2013,3,4,772040
2014,3,4,686460
2015,3,4,688520
2016,3,4,627860
2017,3,4,596670
2018,3,4,749990
2019,3,4,811540
2020,3,4,663220
2021,3,4,844800
1972,4,4,605760
1973,4,4,686690
1974,4,4,796210
1975,4,4,666540
1976,4,4,588650
1977,4,4,557810
1978,4,4,631110
1979,4,4,520110
1980,4,4,619050
1981,4,4,517110
1982,4,4,495430
1983,4,4,704700
1984,4,4,777760
1985,4,4,685010
1986,4,4,932740
1987,4,4,958730
1988,4,4,949930
1989,4,4,743270
1990,4,4,641370
1991,4,4,747840
1992,4,4,848490
1993,4,4,893100
1994,4,4,773530
1995,4,4,834720
1996,4,4,729070
1997,4,4,767690
1998,4,4,891640
1999,4,4,801690
2000,4,4,815640
2001,4,4,953990
2002,4,4,799350
2003,4,4,868360
2004,4,4,846010
2005,4,4,972870
2006,4,4,1067700
2007,4,4,780760
2008,4,4,658480
2009,4,4,575530
2010,4,4,734390
2011,4,4,839580
2012,4,4,757120
2013,4,4,799220
2014,4,4,737850
2015,4,4,736020
2016,4,4,662730
2017,4,4,635870
2018,4,4,832280
2019,4,4,848000
2020,4,4,753470
2021,4,4,886530
1972,1,5,267510
1973,1,5,260360
1974,1,5,280630
1975,1,5,278720
1976,1,5,301720
1977,1,5,273630
1978,1,5,263210
1979,1,5,286690
1980,1,5,310250
1981,1,5,293770
1982,1,5,354950
1983,1,5,518310
1984,1,5,505370
1985,1,5,447810
1986,1,5,327060
1987,1,5,333990
1988,1,5,281370
1989,1,5,344290
1990,1,5,597950
1991,1,5,584880
1992,1,5,490990
1993,1,5,324660
1994,1,5,447960
1995,1,5,518110
1996,1,5,353930
1997,1,5,366290
1998,1,5,389500
1999,1,5,334180
2000,1,5,389750
2001,1,5,455010
2002,1,5,555230
2003,1,5,640110
2004,1,5,401230
2005,1,5,608930
2006,1,5,709990
2007,1,5,724900
2008,1,5,654460
2009,1,5,585860
2010,1,5,560210
2011,1,5,576570
2012,1,5,560330
2013,1,5,568540
2014,1,5,584040
2015,1,5,550880
2016,1,5,507340
2017,1,5,409160
2018,1,5,387980
2019,1,5,433420
2020,1,5,339730
2021,1,5,324710
1972,2,5,252200
1973,2,5,227230
1974,2,5,238750
1975,2,5,253310
1976,2,5,260400
1977,2,5,237100
1978,2,5,241300
1979,2,5,254950
1980,2,5,270340
1981,2,5,299540
1982,2,5,361500
1983,2,5,497930
1984,2,5,464670
1985,2,5,375390
1986,2,5,280340
1987,2,5,277880
1988,2,5,235810
1989,2,5,326030
1990,2,5,612880
1991,2,5,548680
1992,2,5,369360
1993,2,5,308750
1994,2,5,437250
1995,2,5,451170
1996,2,5,287700
1997,2,5,342380
1998,2,5,325670
1999,2,5,298460
2000,2,5,351280
2001,2,5,431780
2002,2,5,534490
2003,2,5,550130
2004,2,5,369160
2005,2,5,616440
2006,2,5,664610
2007,2,5,652810
2008,2,5,596760
2009,2,5,532580
2010,2,5,532320
2011,2,5,546650
2012,2,5,493940
2013,2,5,540770
2014,2,5,538130
2015,2,5,485510
2016,2,5,446710
2017,2,5,356420
2018,2,5,345090
2019,2,5,418530
2020,2,5,256720
2021,2,5,280280
1972,3,5,267730
1973,3,5,248510
1974,3,5,248080
1975,3,5,282920
1976,3,5,266340
1977,3,5,249080
1978,3,5,279310
1979,3,5,299780
1980,3,5,278590
1981,3,5,341590
1982,3,5,436030
1983,3,5,526330
1984,3,5,475780
1985,3,5,357990
1986,3,5,281190
1987,3,5,273530
1988,3,5,272370
1989,3,5,377170
1990,3,5,649960
1991,3,5,580740
1992,3,5,328370
1993,3,5,352190
1994,3,5,489090
1995,3,5,432740
1996,3,5,300640
1997,3,5,364330
1998,3,5,323250
1999,3,5,324740
2000,3,5,375570
2001,3,5,478480
2002,3,5,600050
2003,3,5,491950
2004,3,5,445290
2005,3,5,689310
2006,3,5,718850
2007,3,5,683330
2008,3,5,647230
2009,3,5,563650
2010,3,5,580840
2011,3,5,581560
2012,3,5,516370
2013,3,5,584100
2014,3,5,587440
2015,3,5,518820
2016,3,5,445340
2017,3,5,365740
2018,3,5,357340
2019,3,5,436510
2020,3,5,262650
2021,3,5,266550
1972,4,5,254870
1973,4,5,246990
1974,4,5,244190
1975,4,5,287720
1976,4,5,252350
1977,4,5,240670
1978,4,5,278840
1979,4,5,323730
1980,4,5,272630
1981,4,5,349490
1982,4,5,492900
1983,4,5,518530
1984,4,5,460720
1985,4,5,305310
1986,4,5,244020
1987,4,5,218360
1988,4,5,269500
1989,4,5,461050
1990,4,5,621580
1991,4,5,564360
1992,4,5,285290
1993,4,5,385260
1994,4,5,515670
1995,4,5,370790
1996,4,5,316290
1997,4,5,358870
1998,4,5,301170
1999,4,5,339330
2000,4,5,400680
2001,4,5,516150
2002,4,5,664790
2003,4,5,433730
2004,4,5,540770
2005,4,5,729360
2006,4,5,752230
2007,4,5,700410
2008,4,5,661200
2009,4,5,593180
2010,4,5,608280
2011,4,5,583890
2012,4,5,550040
2013,4,5,609250
2014,4,5,608520
2015,4,5,531510
2016,4,5,426440
2017,4,5,376360
2018,4,5,372320
2019,4,5,395630
2020,4,5,255020
2021,4,5,232380
1972,1,6,198250
1973,1,6,226550
1974,1,6,216940
1975,1,6,190040
1976,1,6,193860
1977,1,6,208550
1978,1,6,210460
1979,1,6,225210
1980,1,6,157620
1981,1,6,151840
1982,1,6,169300
1983,1,6,229870
1984,1,6,263110
1985,1,6,247050
1986,1,6,227660
1987,1,6,256080
1988,1,6,318820
1989,1,6,387140
1990,1,6,226340
1991,1,6,364970
1992,1,6,233070
1993,1,6,226460
1994,1,6,233250
1995,1,6,320270
1996,1,6,221560
1997,1,6,250810
1998,1,6,234140
1999,1,6,265590
2000,1,6,308650
2001,1,6,307130
2002,1,6,241890
2003,1,6,310630
2004,1,6,201430
2005,1,6,240060
2006,1,6,305890
2007,1,6,331680
2008,1,6,395330
2009,1,6,288680
2010,1,6,218440
2011,1,6,258380
2012,1,6,227090
2013,1,6,228960
2014,1,6,276020
2015,1,6,295300
2016,1,6,320420
2017,1,6,248840
2018,1,6,232320
2019,1,6,290750
2020,1,6,223700
2021,1,6,172520
1972,2,6,237140
1973,2,6,284800
1974,2,6,258720
1975,2,6,218980
1976,2,6,254360
1977,2,6,248560
1978,2,6,295140
1979,2,6,264310
1980,2,6,217100
1981,2,6,186120
1982,2,6,234330
1983,2,6,311720
1984,2,6,335220
1985,2,6,304530
1986,2,6,284870
1987,2,6,331830
1988,2,6,436700
1989,2,6,386360
1990,2,6,308430
1991,2,6,387110
1992,2,6,281470
1993,2,6,264580
1994,2,6,282580
1995,2,6,367110
1996,2,6,268680
1997,2,6,271410
1998,2,6,318600
1999,2,6,342180
2000,2,6,378470
2001,2,6,352620
2002,2,6,309630
2003,2,6,334520
2004,2,6,238990
2005,2,6,298940
2006,2,6,353510
2007,2,6,407390
2008,2,6,474140
2009,2,6,296020
2010,2,6,298300
2011,2,6,279370
2012,2,6,276210
2013,2,6,302680
2014,2,6,365490
2015,2,6,361780
2016,2,6,382100
2017,2,6,279800
2018,2,6,310180
2019,2,6,333520
2020,2,6,254690
2021,2,6,227740
1972,3,6,189960
1973,3,6,215610
1974,3,6,192670
1975,3,6,155760
1976,3,6,194810
1977,3,6,181920
1978,3,6,235450
1979,3,6,172100
1980,3,6,167540
1981,3,6,118560
1982,3,6,184900
1983,3,6,258940
1984,3,6,248870
1985,3,6,230830
1986,3,6,228730
1987,3,6,258630
1988,3,6,360770
1989,3,6,240090
1990,3,6,256390
1991,3,6,254040
1992,3,6,205390
1993,3,6,201510
1994,3,6,221060
1995,3,6,250610
1996,3,6,206060
1997,3,6,193740
1998,3,6,242150
1999,3,6,257740
2000,3,6,286670
2001,3,6,255190
2002,3,6,241070
2003,3,6,222740
2004,3,6,192540
2005,3,6,233830
2006,3,6,227390
2007,3,6,326540
2008,3,6,314930
2009,3,6,179590
2010,3,6,237900
2011,3,6,191440
2012,3,6,216000
2013,3,6,233360
2014,3,6,294740
2015,3,6,271780
2016,3,6,266390
2017,3,6,205040
2018,3,6,233910
2019,3,6,234480
2020,3,6,184990
2021,3,6,206010
1972,4,6,198260
1973,4,6,200380
1974,4,6,181320
1975,4,6,148410
1976,4,6,190560
1977,4,6,169490
1978,4,6,217910
1979,4,6,138610
1980,4,6,146320
1981,4,6,107850
1982,4,6,178470
1983,4,6,239470
1984,4,6,215420
1985,4,6,216630
1986,4,6,224540
1987,4,6,261510
1988,4,6,373540
1989,4,6,181330
1990,4,6,291050
1991,4,6,217470
1992,4,6,198510
1993,4,6,197580
1994,4,6,245240
1995,4,6,209520
1996,4,6,219400
1997,4,6,187720
1998,4,6,236800
1999,4,6,256600
2000,4,6,283600
2001,4,6,231170
2002,4,6,241830
2003,4,6,191730
2004,4,6,187050
2005,4,6,236360
2006,4,6,246300
2007,4,6,337370
2008,4,6,280530
2009,4,6,168870
2010,4,6,260650
2011,4,6,188020
2012,4,6,193490
2013,4,6,224880
2014,4,6,270320
2015,4,6,268900
2016,4,6,243080
2017,4,6,200980
2018,4,6,250130
2019,4,6,215050
2020,4,6,150320
2021,4,6,211790
1972,1,7,335670
1973,1,7,414610
1974,1,7,435320
1975,1,7,332410
1976,1,7,323600
1977,1,7,305340
1978,1,7,351730
1979,1,7,373630
1980,1,7,373600
1981,1,7,343420
1982,1,7,276390
1983,1,7,345040
1984,1,7,475580
1985,1,7,376460
1986,1,7,426010
1987,1,7,436660
1988,1,7,538020
1989,1,7,452850
1990,1,7,325130
1991,1,7,421340
1992,1,7,449060
1993,1,7,325410
1994,1,7,351430
1995,1,7,426230
1996,1,7,415620
1997,1,7,446130
1998,1,7,451940
1999,1,7,530340
2000,1,7,454320
2001,1,7,459370
2002,1,7,480620
2003,1,7,530440
2004,1,7,372350
2005,1,7,406930
2006,1,7,453620
2007,1,7,558350
2008,1,7,661890
2009,1,7,519650
2010,1,7,552860
2011,1,7,458720
2012,1,7,395850
2013,1,7,532060
2014,1,7,415410
2015,1,7,477490
2016,1,7,526640
2017,1,7,408470
2018,1,7,463970
2019,1,7,368300
2020,1,7,382140
2021,1,7,360570
1972,2,7,332280
1973,2,7,438500
1974,2,7,409490
1975,2,7,346000
1976,2,7,323020
1977,2,7,310790
1978,2,7,356940
1979,2,7,373840
1980,2,7,396810
1981,2,7,332080
1982,2,7,310780
1983,2,7,410820
1984,2,7,462320
1985,2,7,390230
1986,2,7,428440
1987,2,7,445300
1988,2,7,547900
1989,2,7,418770
1990,2,7,345460
1991,2,7,426490
1992,2,7,496420
1993,2,7,305380
1994,2,7,366500
1995,2,7,386840
1996,2,7,408310
1997,2,7,445230
1998,2,7,464250
1999,2,7,537110
2000,2,7,474700
2001,2,7,451380
2002,2,7,467800
2003,2,7,432960
2004,2,7,377420
2005,2,7,444880
2006,2,7,500650
2007,2,7,599000
2008,2,7,591670
2009,2,7,509720
2010,2,7,584710
2011,2,7,480110
2012,2,7,436040
2013,2,7,491020
2014,2,7,479840
2015,2,7,496900
2016,2,7,535000
2017,2,7,383200
2018,2,7,453750
2019,2,7,450970
2020,2,7,385550
2021,2,7,321950
1972,3,7,370460
1973,3,7,515440
1974,3,7,411250
1975,3,7,369060
1976,3,7,340720
1977,3,7,353700
1978,3,7,405980
1979,3,7,379480
1980,3,7,424750
1981,3,7,318730
1982,3,7,328890
1983,3,7,492660
1984,3,7,466330
1985,3,7,410850
1986,3,7,453990
1987,3,7,488820
1988,3,7,579330
1989,3,7,408070
1990,3,7,377460
1991,3,7,451420
1992,3,7,502040
1993,3,7,307530
1994,3,7,393230
1995,3,7,412900
1996,3,7,441410
1997,3,7,451160
1998,3,7,498980
1999,3,7,530580
2000,3,7,490590
2001,3,7,453160
2002,3,7,487360
2003,3,7,404640
2004,3,7,391920
2005,3,7,424400
2006,3,7,483830
2007,3,7,646750
2008,3,7,556810
2009,3,7,466970
2010,3,7,527590
2011,3,7,395310
2012,3,7,449480
2013,3,7,406230
2014,3,7,479270
2015,3,7,522780
2016,3,7,453790
2017,3,7,366730
2018,3,7,381190
2019,3,7,489950
2020,3,7,346950
2021,3,7,293620
1972,4,7,366990
1973,4,7,488690
1974,4,7,343820
1975,4,7,331060
1976,4,7,304000
1977,4,7,348680
1978,4,7,383710
1979,4,7,344930
1980,4,7,380420
1981,4,7,267170
1982,4,7,296780
1983,4,7,463600
1984,4,7,388960
1985,4,7,379750
1986,4,7,419100
1987,4,7,507170
1988,4,7,497510
1989,4,7,328570
1990,4,7,352890
1991,4,7,401070
1992,4,7,394610
1993,4,7,291990
1994,4,7,390940
1995,4,7,392960
1996,4,7,428850
1997,4,7,434740
1998,4,7,539220
1999,4,7,449280
2000,4,7,427780
2001,4,7,438270
2002,4,7,497460
2003,4,7,335160
2004,4,7,369190
2005,4,7,375340
2006,4,7,444000
2007,4,7,631760
2008,4,7,474630
2009,4,7,462890
2010,4,7,428810
2011,4,7,334560
2012,4,7,473600
2013,4,7,352990
2014,4,7,435940
2015,4,7,509300
2016,4,7,417250
2017,4,7,388950
2018,4,7,293290
