year,season,area,ssb
1972,1,1,27373
1973,1,1,34546
1974,1,1,31497
1975,1,1,25701
1976,1,1,34750
1977,1,1,21975
1978,1,1,20069
1979,1,1,12631
1980,1,1,14089
1981,1,1,11606
1982,1,1,11317
1983,1,1,10519
1984,1,1,20200
1985,1,1,17349
1986,1,1,17155
1987,1,1,19118
1988,1,1,20672
1989,1,1,17163
1990,1,1,17453
1991,1,1,19261
1992,1,1,14486
1993,1,1,17274
1994,1,1,13510
1995,1,1,18056
1996,1,1,26278
1997,1,1,24863
1998,1,1,22791
1999,1,1,18203
2000,1,1,22279
2001,1,1,21835
2002,1,1,23388
2003,1,1,16491
2004,1,1,16912
2005,1,1,16491
2006,1,1,18841
2007,1,1,18091
2008,1,1,14571
2009,1,1,14246
2010,1,1,6298.6
2011,1,1,10560
2012,1,1,10784
2013,1,1,12062
2014,1,1,10992
2015,1,1,10043
2016,1,1,10611
2017,1,1,14447
2018,1,1,14884
2019,1,1,19699
2020,1,1,11621
2021,1,1,11126
1972,2,1,59259
1973,2,1,40450
1974,2,1,45647
1975,2,1,34784
1976,2,1,50290
1977,2,1,26802
1978,2,1,30817
1979,2,1,24335
1980,2,1,24510
1981,2,1,20065
1982,2,1,20738
1983,2,1,21306
1984,2,1,32908
1985,2,1,22841
1986,2,1,33858
1987,2,1,32369
1988,2,1,34362
1989,2,1,25673
1990,2,1,25298
1991,2,1,23981
1992,2,1,23785
1993,2,1,27128
1994,2,1,23797
1995,2,1,30529
1996,2,1,32278
1997,2,1,41110
1998,2,1,28267
1999,2,1,23835
2000,2,1,35734
2001,2,1,27603
2002,2,1,27211
2003,2,1,21899
2004,2,1,25023
2005,2,1,24995
2006,2,1,25838
2007,2,1,25497
2008,2,1,23758
2009,2,1,18652
2010,2,1,13992
2011,2,1,20527
2012,2,1,19022
2013,2,1,21325
2014,2,1,17302
2015,2,1,16694
2016,2,1,18418
2017,2,1,21013
2018,2,1,23905
2019,2,1,27217
2020,2,1,16391
2021,2,1,20076
1972,3,1,94218
1973,3,1,59299
1974,3,1,56799
1975,3,1,44030
1976,3,1,57816
1977,3,1,19754
1978,3,1,20984
1979,3,1,19562
1980,3,1,17382
1981,3,1,17311
1982,3,1,18480
1983,3,1,27814
1984,3,1,25936
1985,3,1,12846
1986,3,1,34701
1987,3,1,38704
1988,3,1,43325
1989,3,1,36477
1990,3,1,41709
1991,3,1,29928
1992,3,1,33766
1993,3,1,30734
1994,3,1,31844
1995,3,1,56846
1996,3,1,36112
1997,3,1,58707
1998,3,1,39539
1999,3,1,23428
2000,3,1,54866
2001,3,1,41778
2002,3,1,40509
2003,3,1,26183
2004,3,1,32762
2005,3,1,36210
2006,3,1,33188
2007,3,1,24446
2008,3,1,34069
2009,3,1,16527
2010,3,1,19449
2011,3,1,25158
2012,3,1,21075
2013,3,1,22714
2014,3,1,21138
2015,3,1,21092
2016,3,1,29387
2017,3,1,27007
2018,3,1,34961
2019,3,1,34108
2020,3,1,20658
2021,3,1,30514
1972,4,1,52802
1973,4,1,39076
1974,4,1,37641
1975,4,1,33402
1976,4,1,34273
1977,4,1,20783
1978,4,1,16597
1979,4,1,16617
1980,4,1,16464
1981,4,1,14932
1982,4,1,16010
1983,4,1,25907
1984,4,1,24184
1985,4,1,17463
1986,4,1,31450
1987,4,1,30885
1988,4,1,32365
1989,4,1,29380
1990,4,1,30842
1991,4,1,26314
1992,4,1,28028
1993,4,1,24562
1994,4,1,25773
1995,4,1,43157
1996,4,1,27170
1997,4,1,41355
1998,4,1,31826
1999,4,1,25876
2000,4,1,40311
2001,4,1,39060
2002,4,1,30313
2003,4,1,25108
2004,4,1,28657
2005,4,1,33921
2006,4,1,29354
2007,4,1,21942
2008,4,1,23896
2009,4,1,12963
2010,4,1,18729
2011,4,1,21069
2012,4,1,20680
2013,4,1,19839
2014,4,1,19115
2015,4,1,18583
2016,4,1,23345
2017,4,1,22613
2018,4,1,32053
2019,4,1,26305
2020,4,1,19425
2021,4,1,27094
1972,1,2,193720
1973,1,2,190570
1974,1,2,249870
1975,1,2,225060
1976,1,2,171560
1977,1,2,173450
1978,1,2,158460
1979,1,2,161440
1980,1,2,127270
1981,1,2,134760
1982,1,2,115940
1983,1,2,128020
1984,1,2,184910
1985,1,2,152880
1986,1,2,162930
1987,1,2,261390
1988,1,2,255550
1989,1,2,215230
1990,1,2,153720
1991,1,2,157130
1992,1,2,215140
1993,1,2,203760
1994,1,2,201120
1995,1,2,186460
1996,1,2,217340
1997,1,2,193800
1998,1,2,216800
1999,1,2,205370
2000,1,2,181350
2001,1,2,226520
