year,season,fishery,area,t
1980,1,4,2,0
1981,1,4,2,0
1982,1,4,2,0
1983,1,4,2,0
1984,1,4,2,0
1985,1,4,2,0
1986,1,4,2,0
1987,1,4,2,0
1988,1,4,2,0
1989,1,4,2,0
1990,1,4,2,0
1991,1,4,2,0
1992,1,4,2,0
1993,1,4,2,22.1
1994,1,4,2,0
1995,1,4,2,0
1996,1,4,2,0
1997,1,4,2,0
1998,1,4,2,0
1999,1,4,2,0
2000,1,4,2,0
2001,1,4,2,249
2002,1,4,2,0
2003,1,4,2,0
2004,1,4,2,0
2005,1,4,2,0
2006,1,4,2,2.5
2007,1,4,2,0
2008,1,4,2,0
2009,1,4,2,12.5
2010,1,4,2,0
2011,1,4,2,0
2012,1,4,2,0
2013,1,4,2,0
2014,1,4,2,0
2015,1,4,2,0
2016,1,4,2,0
2017,1,4,2,0
2018,1,4,2,0
2019,1,4,2,0
2020,1,4,2,0
2021,1,4,2,0
1972,1,5,2,0
1973,1,5,2,0
1974,1,5,2,0
1975,1,5,2,0
1976,1,5,2,0
1977,1,5,2,0
1978,1,5,2,0
1979,1,5,2,0
1980,1,5,2,0
1981,1,5,2,0
1982,1,5,2,0
1983,1,5,2,0
1984,1,5,2,0
1985,1,5,2,0
1986,1,5,2,0
1987,1,5,2,0
1988,1,5,2,0
1989,1,5,2,0
1990,1,5,2,0
1991,1,5,2,0
1992,1,5,2,0
1993,1,5,2,0
1994,1,5,2,0
1995,1,5,2,0
1996,1,5,2,0
1997,1,5,2,0
1998,1,5,2,0
1999,1,5,2,0
2000,1,5,2,0
2001,1,5,2,0
2002,1,5,2,0
2003,1,5,2,0
2004,1,5,2,0
2005,1,5,2,0
2006,1,5,2,0
2007,1,5,2,0
2008,1,5,2,0
2009,1,5,2,0
2010,1,5,2,0
2011,1,5,2,0
2012,1,5,2,0
2013,1,5,2,0
2014,1,5,2,0
2015,1,5,2,0
2016,1,5,2,0
2017,1,5,2,0
2018,1,5,2,0
2019,1,5,2,0
2020,1,5,2,0
2021,1,5,2,0
1972,1,6,2,3.56489
1973,1,6,2,3.64997
1974,1,6,2,3.55283
1975,1,6,2,3.78037
1976,1,6,2,3.91671
1977,1,6,2,3.7014
1978,1,6,2,3.8022
1979,1,6,2,3.6452
1980,1,6,2,3.86771
1981,1,6,2,3.57538
1982,1,6,2,3.92416
1983,1,6,2,3.6993
1984,1,6,2,3.54591
1985,1,6,2,3.74784
1986,1,6,2,3.85058
1987,1,6,2,3.39874
1988,1,6,2,3.76137
1989,1,6,2,3.79648
1990,1,6,2,4.012
1991,1,6,2,3.83776
1992,1,6,2,3.48756
1993,1,6,2,3.83233
1994,1,6,2,3.67339
1995,1,6,2,3.88383
1996,1,6,2,3.57782
1997,1,6,2,3.93128
1998,1,6,2,3.61502
1999,1,6,2,3.65929
2000,1,6,2,3.8671
2001,1,6,2,3.55061
2002,1,6,2,3.73547
2003,1,6,2,3.86114
2004,1,6,2,3.70439
2005,1,6,2,3.81147
2006,1,6,2,3.58482
2007,1,6,2,3.86343
2008,1,6,2,3.98456
2009,1,6,2,3.89112
2010,1,6,2,3.80054
2011,1,6,2,3.56207
2012,1,6,2,3.77188
2013,1,6,2,3.75746
2014,1,6,2,3.89283
2015,1,6,2,3.94391
2016,1,6,2,3.75689
2017,1,6,2,3.84341
2018,1,6,2,3.73994
2019,1,6,2,3.54681
2020,1,6,2,3.78349
2021,1,6,2,4.05929
1972,1,7,3,7704.1
1973,1,7,3,4342.6
1974,1,7,3,6550.3
1975,1,7,3,7302
1976,1,7,3,10339.1
1977,1,7,3,9304
1978,1,7,3,9419.8
1979,1,7,3,13243.7
1980,1,7,3,13006.1
1981,1,7,3,11616.2
1982,1,7,3,10581.1
1983,1,7,3,11111.3
1984,1,7,3,10041.3
1985,1,7,3,9215.7
1986,1,7,3,11345.6
1987,1,7,3,10988.5
1988,1,7,3,11880.3
1989,1,7,3,7178.9
1990,1,7,3,9162.4
1991,1,7,3,5100
1992,1,7,3,7073
1993,1,7,3,8584.3
1994,1,7,3,6412.6
1995,1,7,3,7268.9
1996,1,7,3,5049.3
1997,1,7,3,6173.8
1998,1,7,3,5551.3
1999,1,7,3,4169.9
2000,1,7,3,4355.4
2001,1,7,3,3359.7
2002,1,7,3,7881.5
2003,1,7,3,12967.4
2004,1,7,3,6891.6
2005,1,7,3,7413.7
2006,1,7,3,5931
2007,1,7,3,4295.8
2008,1,7,3,3635.6
2009,1,7,3,7058.4
2010,1,7,3,5370
2011,1,7,3,4907.7
2012,1,7,3,4622.9
2013,1,7,3,6797
2014,1,7,3,5351.5
2015,1,7,3,7267
2016,1,7,3,6854.7
2017,1,7,3,4812.9
2018,1,7,3,4851.1
2019,1,7,3,2830.2
2020,1,7,3,2468.5
2021,1,7,3,3007.1
1972,1,8,3,0
1973,1,8,3,0
1974,1,8,3,0
1975,1,8,3,0.6
1976,1,8,3,0
1977,1,8,3,0
1978,1,8,3,0
1979,1,8,3,0
1980,1,8,3,0
1981,1,8,3,0
1982,1,8,3,0
1983,1,8,3,9.8
1984,1,8,3,0
1985,1,8,3,14.7
1986,1,8,3,0
1987,1,8,3,106.4
1988,1,8,3,498.2
1989,1,8,3,274.7
1990,1,8,3,99.4
1991,1,8,3,44.8
1992,1,8,3,20.1
1993,1,8,3,0
1994,1,8,3,2.2
1995,1,8,3,0
1996,1,8,3,0
1997,1,8,3,0
1998,1,8,3,1.5
1999,1,8,3,0
2000,1,8,3,0
2001,1,8,3,1.4
2002,1,8,3,4.4
2003,1,8,3,0
2004,1,8,3,28.5
2005,1,8,3,15
2006,1,8,3,16.8
2007,1,8,3,19
2008,1,8,3,26.6
2009,1,8,3,18.3
2010,1,8,3,0.7
2011,1,8,3,13.5
2012,1,8,3,2.9
2013,1,8,3,0.5
2014,1,8,3,0
2015,1,8,3,1
2016,1,8,3,0.3
2017,1,8,3,55
2018,1,8,3,0.2
2019,1,8,3,52.4
2020,1,8,3,34
2021,1,8,3,0
1972,1,9,3,4.2059
1973,1,9,3,4.24101
1974,1,9,3,4.14667
1975,1,9,3,4.26651
1976,1,9,3,4.37513
1977,1,9,3,4.24594
1978,1,9,3,4.25348
1979,1,9,3,4.11983
1980,1,9,3,4.48091
1981,1,9,3,4.07033
1982,1,9,3,4.40637
1983,1,9,3,4.07965
1984,1,9,3,3.94053
1985,1,9,3,4.20473
1986,1,9,3,4.21588
1987,1,9,3,3.87462
1988,1,9,3,4.24162
1989,1,9,3,4.22856
1990,1,9,3,4.37084
1991,1,9,3,4.19787
1992,1,9,3,4.10446
1993,1,9,3,4.23684
1994,1,9,3,4.18309
1995,1,9,3,4.34507
1996,1,9,3,4.13732
1997,1,9,3,4.39184
1998,1,9,3,4.11835
1999,1,9,3,4.15879
2000,1,9,3,4.39367
2001,1,9,3,4.13165
2002,1,9,3,4.1672
2003,1,9,3,4.39993
2004,1,9,3,4.18039
2005,1,9,3,4.22146
2006,1,9,3,4.11668
2007,1,9,3,4.17453
2008,1,9,3,4.45953
2009,1,9,3,4.38915
2010,1,9,3,4.31917
2011,1,9,3,4.0904
2012,1,9,3,4.1522
2013,1,9,3,4.28509
2014,1,9,3,4.20552
2015,1,9,3,4.25794
2016,1,9,3,4.25639
2017,1,9,3,4.35572
2018,1,9,3,4.2538
2019,1,9,3,4.01073
2020,1,9,3,4.28039
2021,1,9,3,4.34893
1972,1,10,5,4153
1973,1,10,5,4665.5
1974,1,10,5,5205.5
1975,1,10,5,5594.5
1976,1,10,5,4959.8
1977,1,10,5,8669.5
1978,1,10,5,8786.5
1979,1,10,5,4239
1980,1,10,5,3646.8
1981,1,10,5,4927
1982,1,10,5,5026.7
1983,1,10,5,4074
1984,1,10,5,2971.5
1985,1,10,5,4439
1986,1,10,5,4910.8
1987,1,10,5,5687.8
1988,1,10,5,4314.3
1989,1,10,5,4986.2
1990,1,10,5,6494.3
1991,1,10,5,6261.8
1992,1,10,5,5033.5
1993,1,10,5,3457.3
1994,1,10,5,6092.8
1995,1,10,5,6370.3
1996,1,10,5,6377.3
1997,1,10,5,7513.5
1998,1,10,5,7820.8
1999,1,10,5,7043
2000,1,10,5,7365.5
2001,1,10,5,6885.8
2002,1,10,5,7013.5
2003,1,10,5,8798.8
2004,1,10,5,9133.5
2005,1,10,5,12263.3
2006,1,10,5,13513.5
2007,1,10,5,15597.8
2008,1,10,5,15670.5
2009,1,10,5,6313.5
2010,1,10,5,6874.5
2011,1,10,5,1952.7
2012,1,10,5,3529.3
2013,1,10,5,3494.5
2014,1,10,5,4122
2015,1,10,5,6862.5
2016,1,10,5,3559.5
2017,1,10,5,4664.5
2018,1,10,5,4671.5
2019,1,10,5,4116.5
2020,1,10,5,4119.3
2021,1,10,5,4119.3
1972,1,11,5,4900
1973,1,11,5,5575
1974,1,11,5,5903.3
1975,1,11,5,5829
1976,1,11,5,6334.5
1977,1,11,5,6594
1978,1,11,5,7355.5
1979,1,11,5,9077.5
1980,1,11,5,2795.3
1981,1,11,5,2884.8
1982,1,11,5,3079.2
1983,1,11,5,4069.2
1984,1,11,5,3435.3
1985,1,11,5,3544.5
1986,1,11,5,2678
1987,1,11,5,3122.7
1988,1,11,5,3648.8
1989,1,11,5,3667.5
1990,1,11,5,7603.8
1991,1,11,5,7776.5
1992,1,11,5,8940.5
1993,1,11,5,8190.5
1994,1,11,5,9084.8
1995,1,11,5,9681
1996,1,11,5,15024.8
1997,1,11,5,11179.5
1998,1,11,5,14760.3
1999,1,11,5,14008.2
2000,1,11,5,14904.8
2001,1,11,5,13715.3
2002,1,11,5,13182.5
2003,1,11,5,13447
2004,1,11,5,17704.8
2005,1,11,5,15420
2006,1,11,5,18509.5
2007,1,11,5,21702
2008,1,11,5,23470.2
2009,1,11,5,22302.5
2010,1,11,5,19960.5
2011,1,11,5,23861.5
2012,1,11,5,27433
2013,1,11,5,25688
2014,1,11,5,30558
2015,1,11,5,35556.2
2016,1,11,5,40118.2
2017,1,11,5,31127.8
2018,1,11,5,29999.8
2019,1,11,5,25813.8
2020,1,11,5,19839.5
2021,1,11,5,31589.8
1972,1,12,5,1798.1
1973,1,12,5,2038.3
1974,1,12,5,2230.6
1975,1,12,5,2368.9
1976,1,12,5,2332.5
1977,1,12,5,4452.4
1978,1,12,5,3332.7
1979,1,12,5,5948
1980,1,12,5,5893.5
1981,1,12,5,6815.5
1982,1,12,5,9131.2
1983,1,12,5,11793.7
1984,1,12,5,10765.3
1985,1,12,5,12817.1
1986,1,12,5,15786.3
1987,1,12,5,15706.9
1988,1,12,5,13325.1
1989,1,12,5,16640.8
1990,1,12,5,21388.6
1991,1,12,5,22396.7
1992,1,12,5,20552.7
1993,1,12,5,18011.9
1994,1,12,5,20434.5
1995,1,12,5,23343.7
1996,1,12,5,27198.5
1997,1,12,5,22687.8
1998,1,12,5,28885.9
1999,1,12,5,29401.1
2000,1,12,5,28172
2001,1,12,5,26262.7
2002,1,12,5,29627.6
2003,1,12,5,33660.3
2004,1,12,5,38029.5
2005,1,12,5,31830.2
2006,1,12,5,35723
2007,1,12,5,40758.6
2008,1,12,5,44837.5
2009,1,12,5,47752.3
2010,1,12,5,38928.6
2011,1,12,5,27470.4
2012,1,12,5,32380.5
2013,1,12,5,61743.2
2014,1,12,5,52992.9
2015,1,12,5,30318.3
2016,1,12,5,38942.9
2017,1,12,5,47054.4
2018,1,12,5,30638.1
2019,1,12,5,44981.8
2020,1,12,5,39535.4
2021,1,12,5,40421.3
1972,1,13,5,2385.6
1973,1,13,5,7344.1
1974,1,13,5,9616.4
1975,1,13,5,812.5
1976,1,13,5,600.7
1977,1,13,5,882.2
1978,1,13,5,585.3
1979,1,13,5,1972
1980,1,13,5,5314.5
1981,1,13,5,5908.2
1982,1,13,5,6729.1
1983,1,13,5,8030.1
1984,1,13,5,7657.7
1985,1,13,5,8549.2
1986,1,13,5,8781
1987,1,13,5,9806.5
1988,1,13,5,11857
1989,1,13,5,12541.8
1990,1,13,5,14395.4
1991,1,13,5,14706.5
1992,1,13,5,16913
1993,1,13,5,15489.2
1994,1,13,5,17224.2
1995,1,13,5,18311.9
1996,1,13,5,28413.7
1997,1,13,5,21141.8
1998,1,13,5,27913.5
1999,1,13,5,26491.5
2000,1,13,5,28187.1
2001,1,13,5,25937.3
2002,1,13,5,24967.4
2003,1,13,5,25430
2004,1,13,5,33481.8
2005,1,13,5,19142.6
2006,1,13,5,25282.8
2007,1,13,5,29644.6
2008,1,13,5,31177.5
2009,1,13,5,34058.7
2010,1,13,5,33674.2
2011,1,13,5,30901.7
2012,1,13,5,25218.7
2013,1,13,5,21457
2014,1,13,5,19947.3
2015,1,13,5,19939.2
2016,1,13,5,21381
2017,1,13,5,14953.7
2018,1,13,5,25935.2
2019,1,13,5,20245
2020,1,13,5,27021.8
2021,1,13,5,10453.8
1972,1,14,5,278
1973,1,14,5,48.1
1974,1,14,5,152.9
1975,1,14,5,368.9
1976,1,14,5,702.1
1977,1,14,5,985
1978,1,14,5,1567
1979,1,14,5,4087.1
1980,1,14,5,2144.3
1981,1,14,5,464
1982,1,14,5,680.4
1983,1,14,5,5471.2
1984,1,14,5,1771.5
1985,1,14,5,3068
1986,1,14,5,217.7
1987,1,14,5,483.3
1988,1,14,5,799.6
1989,1,14,5,2435.5
1990,1,14,5,1187.9
1991,1,14,5,4231.4
1992,1,14,5,9005.6
1993,1,14,5,130.8
1994,1,14,5,146.4
1995,1,14,5,385.7
1996,1,14,5,426
1997,1,14,5,1665.9
1998,1,14,5,727.6
1999,1,14,5,1373.8
2000,1,14,5,335.4
2001,1,14,5,272
2002,1,14,5,60.1
2003,1,14,5,1473.7
2004,1,14,5,249.7
2005,1,14,5,321.6
2006,1,14,5,555.9
2007,1,14,5,532.2
2008,1,14,5,703.1
2009,1,14,5,314.9
2010,1,14,5,0
2011,1,14,5,96.7
2012,1,14,5,137.1
2013,1,14,5,0
2014,1,14,5,28.3
2015,1,14,5,0
2016,1,14,5,0
2017,1,14,5,117.6
2018,1,14,5,37.5
2019,1,14,5,170
2020,1,14,5,0
2021,1,14,5,7
1972,1,15,5,0
1973,1,15,5,11.8
1974,1,15,5,0
1975,1,15,5,6.6
1976,1,15,5,0
1977,1,15,5,27.8
1978,1,15,5,44
1979,1,15,5,299
1980,1,15,5,1241.3
1981,1,15,5,18
1982,1,15,5,722
1983,1,15,5,2128.8
1984,1,15,5,580.3
1985,1,15,5,2007.3
1986,1,15,5,39.6
1987,1,15,5,82.6
1988,1,15,5,27.7
1989,1,15,5,4150.8
1990,1,15,5,1187.5
1991,1,15,5,3995.6
1992,1,15,5,5241.6
1993,1,15,5,105.9
1994,1,15,5,286.5
1995,1,15,5,468.1
1996,1,15,5,287
1997,1,15,5,3385
1998,1,15,5,9.8
1999,1,15,5,6567.9
2000,1,15,5,637.4
2001,1,15,5,2.6
2002,1,15,5,0
2003,1,15,5,2902.8
2004,1,15,5,0
2005,1,15,5,853.2
2006,1,15,5,360.5
2007,1,15,5,843.5
2008,1,15,5,1365.4
2009,1,15,5,973.7
2010,1,15,5,31.3
2011,1,15,5,196.5
2012,1,15,5,29.1
2013,1,15,5,164.3
2014,1,15,5,1.9
2015,1,15,5,39
2016,1,15,5,4.9
2017,1,15,5,1643.7
2018,1,15,5,71.1
2019,1,15,5,414.1
2020,1,15,5,0
2021,1,15,5,26.4
1972,1,16,5,0
1973,1,16,5,0
1974,1,16,5,0
1975,1,16,5,0
1976,1,16,5,0
1977,1,16,5,0
1978,1,16,5,0
1979,1,16,5,0
1980,1,16,5,0
1981,1,16,5,0
1982,1,16,5,0
1983,1,16,5,0
1984,1,16,5,0
1985,1,16,5,0
1986,1,16,5,0
1987,1,16,5,0
1988,1,16,5,0
1989,1,16,5,0
1990,1,16,5,0
1991,1,16,5,0
1992,1,16,5,0
1993,1,16,5,0
1994,1,16,5,0
1995,1,16,5,0
1996,1,16,5,0
1997,1,16,5,0
1998,1,16,5,0
1999,1,16,5,0
2000,1,16,5,4922.3
2001,1,16,5,5180.7
2002,1,16,5,5515
2003,1,16,5,5482.4
2004,1,16,5,7393.8
2005,1,16,5,7582.5
2006,1,16,5,7606
2007,1,16,5,7843
2008,1,16,5,7219.7
2009,1,16,5,6485.6
2010,1,16,5,6014
2011,1,16,5,7373
2012,1,16,5,10908.9
2013,1,16,5,13847.8
2014,1,16,5,15068.6
2015,1,16,5,15605.3
2016,1,16,5,23455.1
2017,1,16,5,21560.2
2018,1,16,5,22865.3
2019,1,16,5,21839.3
2020,1,16,5,18410.3
2021,1,16,5,18410.3
1972,1,17,5,3.63837
1973,1,17,5,3.77
1974,1,17,5,3.60668
1975,1,17,5,3.80701
1976,1,17,5,3.63423
1977,1,17,5,3.74511
1978,1,17,5,3.60632
1979,1,17,5,3.64228
1980,1,17,5,3.49844
1981,1,17,5,3.56906
1982,1,17,5,3.47595
1983,1,17,5,3.17771
1984,1,17,5,3.53502
1985,1,17,5,3.65715
1986,1,17,5,3.83706
1987,1,17,5,3.57348
1988,1,17,5,3.90584
1989,1,17,5,3.51675
1990,1,17,5,2.95043
1991,1,17,5,3.59676
1992,1,17,5,3.63477
1993,1,17,5,3.68919
1994,1,17,5,3.24343
1995,1,17,5,3.44995
1996,1,17,5,3.87136
1997,1,17,5,3.23697
1998,1,17,5,3.49969
1999,1,17,5,3.57921
2000,1,17,5,3.2684
2001,1,17,5,3.26302
2002,1,17,5,3.33526
2003,1,17,5,3.33854
2004,1,17,5,3.83518
2005,1,17,5,2.95026
2006,1,17,5,3.37513
2007,1,17,5,3.40619
2008,1,17,5,3.44959
2009,1,17,5,3.47006
2010,1,17,5,3.25313
2011,1,17,5,3.32291
2012,1,17,5,3.46241
2013,1,17,5,3.31426
2014,1,17,5,3.35814
2015,1,17,5,3.42849
2016,1,17,5,3.42382
2017,1,17,5,3.46193
2018,1,17,5,3.25704
2019,1,17,5,3.22776
2020,1,17,5,3.77526
2021,1,17,5,3.18119
1972,1,18,6,4681.5
1973,1,18,6,3147.7
1974,1,18,6,32076.3
1975,1,18,6,13580.4
1976,1,18,6,2465.3
1977,1,18,6,3254.7
1978,1,18,6,1657.9
1979,1,18,6,3758.1
1980,1,18,6,3067
1981,1,18,6,3310.8
1982,1,18,6,80.7
1983,1,18,6,1191.7
1984,1,18,6,1676.5
1985,1,18,6,3800.6
1986,1,18,6,1580.3
1987,1,18,6,611.4
1988,1,18,6,858.9
1989,1,18,6,3503.9
1990,1,18,6,1423.2
1991,1,18,6,3815.7
1992,1,18,6,1370
1993,1,18,6,2464.3
1994,1,18,6,3006.9
1995,1,18,6,5200
1996,1,18,6,768.7
1997,1,18,6,3296.9
1998,1,18,6,2871.9
1999,1,18,6,1903
2000,1,18,6,1369.4
2001,1,18,6,61
2002,1,18,6,1881.6
2003,1,18,6,3740.2
2004,1,18,6,830.6
2005,1,18,6,647.2
2006,1,18,6,334.4
2007,1,18,6,447.7
2008,1,18,6,152.4
2009,1,18,6,52
2010,1,18,6,0
2011,1,18,6,12.7
2012,1,18,6,116
2013,1,18,6,421.2
2014,1,18,6,7.7
2015,1,18,6,0
2016,1,18,6,15
2017,1,18,6,84.9
2018,1,18,6,96.3
2019,1,18,6,109.6
2020,1,18,6,139.8
2021,1,18,6,320.8
1972,1,19,6,0
1973,1,19,6,257.2
1974,1,19,6,66.1
1975,1,19,6,29.7
1976,1,19,6,941.8
1977,1,19,6,1004.7
1978,1,19,6,690.4
1979,1,19,6,217.8
1980,1,19,6,904
1981,1,19,6,1428.7
1982,1,19,6,4871.4
1983,1,19,6,7087.6
1984,1,19,6,4990.5
1985,1,19,6,10143.2
1986,1,19,6,21228.9
1987,1,19,6,3485.7
1988,1,19,6,4515.8
1989,1,19,6,25053.9
1990,1,19,6,15217.3
1991,1,19,6,26814.6
1992,1,19,6,11773
1993,1,19,6,9841
1994,1,19,6,10435.7
1995,1,19,6,18025.2
1996,1,19,6,30116
1997,1,19,6,27673.2
1998,1,19,6,12054.6
1999,1,19,6,14222.9
2000,1,19,6,18256.5
2001,1,19,6,8350.8
2002,1,19,6,17490.6
2003,1,19,6,30381.6
2004,1,19,6,39858
2005,1,19,6,21563.9
2006,1,19,6,59425.5
2007,1,19,6,42335.5
2008,1,19,6,30608.7
2009,1,19,6,67297.2
2010,1,19,6,21505.2
2011,1,19,6,42426.6
2012,1,19,6,50053.8
2013,1,19,6,21036.7
2014,1,19,6,13656.5
2015,1,19,6,4932
2016,1,19,6,10255.9
2017,1,19,6,15696.6
2018,1,19,6,15547.5
2019,1,19,6,12807.8
2020,1,19,6,2587.7
2021,1,19,6,16178
1972,1,20,6,0
1973,1,20,6,137.1
1974,1,20,6,56.5
1975,1,20,6,1
1976,1,20,6,0
1977,1,20,6,0
1978,1,20,6,71.9
1979,1,20,6,3.2
1980,1,20,6,492.7
1981,1,20,6,36.3
1982,1,20,6,1270.8
1983,1,20,6,2770.8
1984,1,20,6,1533.2
1985,1,20,6,4481.2
1986,1,20,6,3007.3
1987,1,20,6,4189.5
1988,1,20,6,669.5
1989,1,20,6,27267.6
1990,1,20,6,5204.8
1991,1,20,6,30004.1
1992,1,20,6,3940.9
1993,1,20,6,5183.6
1994,1,20,6,3346.4
1995,1,20,6,18960.5
1996,1,20,6,17174.3
1997,1,20,6,16722.5
1998,1,20,6,5691.8
1999,1,20,6,3267.5
2000,1,20,6,20719.2
2001,1,20,6,3102.7
2002,1,20,6,3032.4
2003,1,20,6,37471.6
2004,1,20,6,14189.2
2005,1,20,6,22610.3
2006,1,20,6,20269.2
2007,1,20,6,37741.7
2008,1,20,6,19295.7
2009,1,20,6,20090.4
2010,1,20,6,33997.2
2011,1,20,6,85137.2
2012,1,20,6,37862.7
2013,1,20,6,29336.8
2014,1,20,6,25371.3
2015,1,20,6,10113.6
2016,1,20,6,10129.4
2017,1,20,6,37479
2018,1,20,6,33429.2
2019,1,20,6,48129.9
2020,1,20,6,30875.2
2021,1,20,6,56745.7
1972,1,21,6,3.15978
1973,1,21,6,3.13974
1974,1,21,6,3.39419
1975,1,21,6,3.48179
1976,1,21,6,3.24931
1977,1,21,6,3.35761
1978,1,21,6,3.16274
1979,1,21,6,3.25431
1980,1,21,6,3.53937
1981,1,21,6,3.50356
1982,1,21,6,3.02497
1983,1,21,6,3.32831
1984,1,21,6,3.37499
1985,1,21,6,3.39396
1986,1,21,6,3.32557
1987,1,21,6,3.11345
1988,1,21,6,3.03138
1989,1,21,6,3.20491
1990,1,21,6,3.41272
1991,1,21,6,2.97912
1992,1,21,6,3.41431
1993,1,21,6,3.32808
1994,1,21,6,3.17291
1995,1,21,6,3.02502
1996,1,21,6,3.38794
1997,1,21,6,3.10139
1998,1,21,6,3.28676
1999,1,21,6,3.09234
2000,1,21,6,3.13649
2001,1,21,6,3.21935
2002,1,21,6,3.35678
2003,1,21,6,3.14702
2004,1,21,6,3.3395
2005,1,21,6,2.99823
2006,1,21,6,3.03348
2007,1,21,6,3.02511
2008,1,21,6,3.09278
2009,1,21,6,3.28305
2010,1,21,6,3.00328
2011,1,21,6,2.79311
2012,1,21,6,3.04755
2013,1,21,6,3.02857
2014,1,21,6,2.9431
2015,1,21,6,3.19117
2016,1,21,6,3.12289
2017,1,21,6,3.25778
2018,1,21,6,2.86305
2019,1,21,6,2.87563
2020,1,21,6,3.40637
2021,1,21,6,2.74747
1972,1,22,4,538.9
1973,1,22,4,3395.3
1974,1,22,4,69
1975,1,22,4,5075.3
1976,1,22,4,1575.2
1977,1,22,4,3043.6
1978,1,22,4,1694.8
1979,1,22,4,8155.2
1980,1,22,4,1236.3
1981,1,22,4,2077.2
1982,1,22,4,5864.4
