year,season,fishery,area,t
1972,1,1,1,549.3
1973,1,1,1,868.8
1974,1,1,1,546.6
1975,1,1,1,586
1976,1,1,1,460.6
1977,1,1,1,1074.2
1978,1,1,1,3641.7
1979,1,1,1,2420
1980,1,1,1,1241.6
1981,1,1,1,1278.5
1982,1,1,1,1082.7
1983,1,1,1,637.2
1984,1,1,1,527.8
1985,1,1,1,3482
1986,1,1,1,775.6
1987,1,1,1,1234
1988,1,1,1,681.6
1989,1,1,1,1814.2
1990,1,1,1,1118.1
1991,1,1,1,2062.8
1992,1,1,1,1285.7
1993,1,1,1,566.8
1994,1,1,1,347.9
1995,1,1,1,2830
1996,1,1,1,1563.5
1997,1,1,1,2262.2
1998,1,1,1,2794.4
1999,1,1,1,3350.6
2000,1,1,1,5011
2001,1,1,1,1952.8
2002,1,1,1,1730.4
2003,1,1,1,2620.6
2004,1,1,1,2350.5
2005,1,1,1,1990.8
2006,1,1,1,1084.9
2007,1,1,1,1218.7
2008,1,1,1,1263.3
2009,1,1,1,1154.6
2010,1,1,1,1242.8
2011,1,1,1,786.5
2012,1,1,1,1244.9
2013,1,1,1,1210.3
2014,1,1,1,736.1
2015,1,1,1,531.7
2016,1,1,1,701.8
2017,1,1,1,1139.7
2018,1,1,1,748.1
2019,1,1,1,515
2020,1,1,1,761.1
2021,1,1,1,1845.1
1972,1,2,1,655.8
1973,1,2,1,579.2
1974,1,2,1,365.7
1975,1,2,1,106
1976,1,2,1,229.8
1977,1,2,1,95.7
1978,1,2,1,469.2
1979,1,2,1,50.7
1980,1,2,1,213.5
1981,1,2,1,220.9
1982,1,2,1,208
1983,1,2,1,178.5
1984,1,2,1,936.5
1985,1,2,1,793.5
1986,1,2,1,1115.5
1987,1,2,1,724.5
1988,1,2,1,1930.8
1989,1,2,1,909
1990,1,2,1,753
1991,1,2,1,1214.3
1992,1,2,1,369.5
1993,1,2,1,1209.4
1994,1,2,1,1033.8
1995,1,2,1,1335.5
1996,1,2,1,3.6
1997,1,2,1,533.2
1998,1,2,1,595.2
1999,1,2,1,21
2000,1,2,1,13.5
2001,1,2,1,676
2002,1,2,1,369.8
2003,1,2,1,501.6
2004,1,2,1,182.5
2005,1,2,1,108.9
2006,1,2,1,141
2007,1,2,1,211.3
2008,1,2,1,94.4
2009,1,2,1,140
2010,1,2,1,568.2
2011,1,2,1,22
2012,1,2,1,28.5
2013,1,2,1,20.6
2014,1,2,1,22.2
2015,1,2,1,4.6
2016,1,2,1,15.8
2017,1,2,1,118.1
2018,1,2,1,16.7
2019,1,2,1,26.4
2020,1,2,1,38.1
2021,1,2,1,36.4
1972,1,3,1,3.52388
1973,1,3,1,3.6785
1974,1,3,1,3.75332
1975,1,3,1,3.89409
1976,1,3,1,3.96057
1977,1,3,1,3.78423
1978,1,3,1,3.97313
1979,1,3,1,3.87584
1980,1,3,1,4.11012
1981,1,3,1,3.80627
1982,1,3,1,4.13494
1983,1,3,1,3.8516
1984,1,3,1,3.70277
1985,1,3,1,3.89456
1986,1,3,1,4.04127
1987,1,3,1,3.63049
1988,1,3,1,4.01658
1989,1,3,1,3.98189
1990,1,3,1,4.12101
1991,1,3,1,3.89933
1992,1,3,1,3.79692
1993,1,3,1,4.00253
1994,1,3,1,3.94062
1995,1,3,1,4.10295
1996,1,3,1,3.73069
1997,1,3,1,4.1069
1998,1,3,1,3.73746
1999,1,3,1,3.87939
2000,1,3,1,4.10631
2001,1,3,1,3.72371
2002,1,3,1,3.86466
2003,1,3,1,4.05841
2004,1,3,1,3.86393
2005,1,3,1,3.93856
2006,1,3,1,3.80239
2007,1,3,1,3.98968
2008,1,3,1,4.21538
2009,1,3,1,4.06859
2010,1,3,1,4.10081
2011,1,3,1,3.82813
2012,1,3,1,3.96655
2013,1,3,1,3.99897
2014,1,3,1,4.04149
2015,1,3,1,4.0817
2016,1,3,1,4.0521
2017,1,3,1,4.059
2018,1,3,1,3.93092
2019,1,3,1,3.70018
2020,1,3,1,4.04119
2021,1,3,1,4.18467
1972,1,4,2,53
1973,1,4,2,11.2
1974,1,4,2,99.8
1975,1,4,2,0
1976,1,4,2,0
1977,1,4,2,18
1978,1,4,2,14.8
1979,1,4,2,0
