rel.group,area,year,season,program,length,lendist
1,3,1978,4,SSAP,2,0
1,3,1978,4,SSAP,4,0
1,3,1978,4,SSAP,6,0
1,3,1978,4,SSAP,8,0
1,3,1978,4,SSAP,10,0
1,3,1978,4,SSAP,12,0
1,3,1978,4,SSAP,14,0
1,3,1978,4,SSAP,16,0
1,3,1978,4,SSAP,18,0
1,3,1978,4,SSAP,20,0
1,3,1978,4,SSAP,22,0
1,3,1978,4,SSAP,24,0
1,3,1978,4,SSAP,26,0
1,3,1978,4,SSAP,28,0
1,3,1978,4,SSAP,30,0
1,3,1978,4,SSAP,32,0
1,3,1978,4,SSAP,34,0
1,3,1978,4,SSAP,36,0
1,3,1978,4,SSAP,38,0
1,3,1978,4,SSAP,40,0
1,3,1978,4,SSAP,42,0
1,3,1978,4,SSAP,44,67.304004768
1,3,1978,4,SSAP,46,0
1,3,1978,4,SSAP,48,0
1,3,1978,4,SSAP,50,0
1,3,1978,4,SSAP,52,0
1,3,1978,4,SSAP,54,0
1,3,1978,4,SSAP,56,0
1,3,1978,4,SSAP,58,0
1,3,1978,4,SSAP,60,0
1,3,1978,4,SSAP,62,0
1,3,1978,4,SSAP,64,0
1,3,1978,4,SSAP,66,0
1,3,1978,4,SSAP,68,0
1,3,1978,4,SSAP,70,0
1,3,1978,4,SSAP,72,0
1,3,1978,4,SSAP,74,0
1,3,1978,4,SSAP,76,0
1,3,1978,4,SSAP,78,0
1,3,1978,4,SSAP,80,0
1,3,1978,4,SSAP,82,0
1,3,1978,4,SSAP,84,0
1,3,1978,4,SSAP,86,0
1,3,1978,4,SSAP,88,0
1,3,1978,4,SSAP,90,0
1,3,1978,4,SSAP,92,0
1,3,1978,4,SSAP,94,0
1,3,1978,4,SSAP,96,0
1,3,1978,4,SSAP,98,0
1,3,1978,4,SSAP,100,0
1,3,1978,4,SSAP,102,0
1,3,1978,4,SSAP,104,0
1,3,1978,4,SSAP,106,0
1,3,1978,4,SSAP,108,0
2,4,1979,4,SSAP,2,0
2,4,1979,4,SSAP,4,0
2,4,1979,4,SSAP,6,0
2,4,1979,4,SSAP,8,0
2,4,1979,4,SSAP,10,0
2,4,1979,4,SSAP,12,0
2,4,1979,4,SSAP,14,0
2,4,1979,4,SSAP,16,0
2,4,1979,4,SSAP,18,0
2,4,1979,4,SSAP,20,0
2,4,1979,4,SSAP,22,0
2,4,1979,4,SSAP,24,0
2,4,1979,4,SSAP,26,0
2,4,1979,4,SSAP,28,0
2,4,1979,4,SSAP,30,0
2,4,1979,4,SSAP,32,0
2,4,1979,4,SSAP,34,0
2,4,1979,4,SSAP,36,0
2,4,1979,4,SSAP,38,0
2,4,1979,4,SSAP,40,0
2,4,1979,4,SSAP,42,2.117958192
2,4,1979,4,SSAP,44,0.705986064
2,4,1979,4,SSAP,46,1.411972128
2,4,1979,4,SSAP,48,51.536982672
2,4,1979,4,SSAP,50,71.304592464
2,4,1979,4,SSAP,52,3.52993032
2,4,1979,4,SSAP,54,1.411972128
2,4,1979,4,SSAP,56,0
2,4,1979,4,SSAP,58,0
2,4,1979,4,SSAP,60,0
2,4,1979,4,SSAP,62,0
2,4,1979,4,SSAP,64,0
2,4,1979,4,SSAP,66,0
2,4,1979,4,SSAP,68,0
2,4,1979,4,SSAP,70,0
2,4,1979,4,SSAP,72,0
2,4,1979,4,SSAP,74,0
2,4,1979,4,SSAP,76,0
2,4,1979,4,SSAP,78,0
2,4,1979,4,SSAP,80,0
2,4,1979,4,SSAP,82,0
2,4,1979,4,SSAP,84,0
2,4,1979,4,SSAP,86,0
2,4,1979,4,SSAP,88,0
2,4,1979,4,SSAP,90,0
2,4,1979,4,SSAP,92,0
2,4,1979,4,SSAP,94,0
2,4,1979,4,SSAP,96,0
2,4,1979,4,SSAP,98,0
2,4,1979,4,SSAP,100,0
2,4,1979,4,SSAP,102,0
2,4,1979,4,SSAP,104,0
2,4,1979,4,SSAP,106,0
2,4,1979,4,SSAP,108,0
3,5,1978,4,SSAP,2,0
3,5,1978,4,SSAP,4,0
3,5,1978,4,SSAP,6,0
3,5,1978,4,SSAP,8,0
3,5,1978,4,SSAP,10,0
3,5,1978,4,SSAP,12,0
3,5,1978,4,SSAP,14,0
3,5,1978,4,SSAP,16,0
3,5,1978,4,SSAP,18,0
3,5,1978,4,SSAP,20,0
3,5,1978,4,SSAP,22,0
3,5,1978,4,SSAP,24,0
3,5,1978,4,SSAP,26,0
3,5,1978,4,SSAP,28,0
3,5,1978,4,SSAP,30,0
3,5,1978,4,SSAP,32,0
3,5,1978,4,SSAP,34,0
3,5,1978,4,SSAP,36,0
3,5,1978,4,SSAP,38,0
3,5,1978,4,SSAP,40,0
3,5,1978,4,SSAP,42,0
3,5,1978,4,SSAP,44,0
3,5,1978,4,SSAP,46,0.705986064
3,5,1978,4,SSAP,48,1.411972128
3,5,1978,4,SSAP,50,21.885567984
3,5,1978,4,SSAP,52,172.260599616
3,5,1978,4,SSAP,54,195.750681381818
3,5,1978,4,SSAP,56,86.4126942336
3,5,1978,4,SSAP,58,131.19574356
3,5,1978,4,SSAP,60,128.489463648
3,5,1978,4,SSAP,62,95.89644036
3,5,1978,4,SSAP,64,20.473595856
3,5,1978,4,SSAP,66,12.707749152
3,5,1978,4,SSAP,68,16.237679472
3,5,1978,4,SSAP,70,5.647888512
3,5,1978,4,SSAP,72,0
3,5,1978,4,SSAP,74,0
3,5,1978,4,SSAP,76,0
3,5,1978,4,SSAP,78,0
3,5,1978,4,SSAP,80,0
3,5,1978,4,SSAP,82,0
3,5,1978,4,SSAP,84,0
3,5,1978,4,SSAP,86,0
3,5,1978,4,SSAP,88,0
3,5,1978,4,SSAP,90,0
3,5,1978,4,SSAP,92,0
3,5,1978,4,SSAP,94,0
3,5,1978,4,SSAP,96,0
