rel.group,rel.area,rel.year,rel.season,program,rel.length,rec.fishery,rec.year,rec.season,rec.number
1,3,1978,4,SSAP,44,7,1978,4,2
1,3,1978,4,SSAP,44,7,1979,1,2
1,3,1978,4,SSAP,44,7,1979,2,1
1,3,1978,4,SSAP,44,14,1979,1,1
1,3,1978,4,SSAP,44,14,1979,2,2
1,3,1978,4,SSAP,44,22,1979,1,1
1,3,1978,4,SSAP,44,24,1979,4,1
1,3,1978,4,SSAP,44,28,1980,1,1
2,4,1979,4,SSAP,48,7,1980,4,1
2,4,1979,4,SSAP,48,22,1980,2,1
2,4,1979,4,SSAP,48,22,1980,3,1
2,4,1979,4,SSAP,48,24,1980,1,2
2,4,1979,4,SSAP,48,24,1980,2,1
2,4,1979,4,SSAP,50,7,1980,2,2
2,4,1979,4,SSAP,50,28,1980,3,1
3,5,1978,4,SSAP,50,14,1979,1,1
3,5,1978,4,SSAP,52,7,1979,1,2
3,5,1978,4,SSAP,52,7,1979,2,2
3,5,1978,4,SSAP,52,7,1980,2,1
3,5,1978,4,SSAP,52,13,1978,4,3
3,5,1978,4,SSAP,52,14,1979,1,1
3,5,1978,4,SSAP,52,22,1979,1,1
3,5,1978,4,SSAP,52,24,1979,1,4
3,5,1978,4,SSAP,52,24,1979,2,1
3,5,1978,4,SSAP,52,25,1979,1,1
3,5,1978,4,SSAP,52,28,1980,1,1
3,5,1978,4,SSAP,52,31,1979,3,1
3,5,1978,4,SSAP,54,7,1979,1,1
3,5,1978,4,SSAP,54,13,1978,4,4
3,5,1978,4,SSAP,54,14,1979,1,1
3,5,1978,4,SSAP,54,22,1979,1,2
3,5,1978,4,SSAP,54,25,1979,1,2
3,5,1978,4,SSAP,56,7,1979,1,1
3,5,1978,4,SSAP,56,7,1979,2,1
3,5,1978,4,SSAP,56,13,1978,4,3
3,5,1978,4,SSAP,56,13,1979,1,2
3,5,1978,4,SSAP,56,25,1979,1,1
3,5,1978,4,SSAP,58,7,1979,1,1
3,5,1978,4,SSAP,58,13,1978,4,6
3,5,1978,4,SSAP,58,24,1978,4,1
3,5,1978,4,SSAP,58,24,1980,1,1
3,5,1978,4,SSAP,58,25,1979,1,1
3,5,1978,4,SSAP,60,7,1979,1,1
3,5,1978,4,SSAP,60,13,1978,4,8
3,5,1978,4,SSAP,60,14,1978,4,1
3,5,1978,4,SSAP,60,24,1979,1,2
3,5,1978,4,SSAP,60,25,1978,4,1
3,5,1978,4,SSAP,62,7,1979,1,1
3,5,1978,4,SSAP,62,13,1978,4,6
3,5,1978,4,SSAP,62,24,1979,1,3
3,5,1978,4,SSAP,64,13,1978,4,1
4,5,1980,3,SSAP,32,19,1981,3,1
4,5,1980,3,SSAP,32,24,1980,4,1
4,5,1980,3,SSAP,32,25,1980,4,1
4,5,1980,3,SSAP,34,13,1980,4,1
4,5,1980,3,SSAP,34,14,1980,4,2
4,5,1980,3,SSAP,34,14,1981,1,1
4,5,1980,3,SSAP,34,18,1981,2,3
4,5,1980,3,SSAP,34,24,1982,1,1
4,5,1980,3,SSAP,34,25,1980,3,1
4,5,1980,3,SSAP,34,25,1980,4,2
4,5,1980,3,SSAP,34,25,1981,1,1
4,5,1980,3,SSAP,34,25,1981,2,1
4,5,1980,3,SSAP,36,13,1980,3,2
4,5,1980,3,SSAP,36,13,1980,4,7
4,5,1980,3,SSAP,36,13,1981,2,1
4,5,1980,3,SSAP,36,14,1980,4,1
4,5,1980,3,SSAP,36,18,1981,1,1
4,5,1980,3,SSAP,36,18,1981,2,1
4,5,1980,3,SSAP,36,18,1981,3,2
4,5,1980,3,SSAP,36,19,1980,4,2
4,5,1980,3,SSAP,36,19,1981,1,2
4,5,1980,3,SSAP,36,19,1981,3,1
4,5,1980,3,SSAP,36,19,1982,1,1
4,5,1980,3,SSAP,36,24,1980,4,1
4,5,1980,3,SSAP,36,24,1981,1,1
4,5,1980,3,SSAP,36,25,1980,4,5
4,5,1980,3,SSAP,36,25,1981,1,5
4,5,1980,3,SSAP,36,25,1981,2,3
4,5,1980,3,SSAP,36,25,1981,3,3
4,5,1980,3,SSAP,36,25,1982,1,1
4,5,1980,3,SSAP,38,7,1981,1,1
4,5,1980,3,SSAP,38,7,1981,2,1
4,5,1980,3,SSAP,38,13,1980,3,2
4,5,1980,3,SSAP,38,13,1980,4,37
4,5,1980,3,SSAP,38,13,1981,1,3
4,5,1980,3,SSAP,38,13,1981,2,2
4,5,1980,3,SSAP,38,14,1980,4,4
4,5,1980,3,SSAP,38,14,1981,1,2
4,5,1980,3,SSAP,38,14,1981,2,1
4,5,1980,3,SSAP,38,18,1981,1,1
4,5,1980,3,SSAP,38,18,1981,2,1
4,5,1980,3,SSAP,38,18,1981,4,1
4,5,1980,3,SSAP,38,19,1980,4,8
4,5,1980,3,SSAP,38,19,1981,1,2
4,5,1980,3,SSAP,38,19,1981,3,2
4,5,1980,3,SSAP,38,22,1982,1,1
4,5,1980,3,SSAP,38,22,1982,2,1
4,5,1980,3,SSAP,38,24,1980,4,8
4,5,1980,3,SSAP,38,24,1981,1,3
4,5,1980,3,SSAP,38,24,1981,2,3
4,5,1980,3,SSAP,38,24,1981,3,1
4,5,1980,3,SSAP,38,24,1981,4,3
4,5,1980,3,SSAP,38,25,1980,4,12
4,5,1980,3,SSAP,38,25,1981,1,4
4,5,1980,3,SSAP,38,25,1981,2,10
4,5,1980,3,SSAP,38,25,1981,3,8
4,5,1980,3,SSAP,38,25,1982,2,1
4,5,1980,3,SSAP,38,29,1981,2,1
4,5,1980,3,SSAP,40,7,1981,2,1
4,5,1980,3,SSAP,40,13,1980,3,3
4,5,1980,3,SSAP,40,13,1980,4,3
4,5,1980,3,SSAP,40,13,1981,2,1
4,5,1980,3,SSAP,40,19,1980,4,1
4,5,1980,3,SSAP,40,24,1980,4,1
4,5,1980,3,SSAP,40,25,1980,4,3
4,5,1980,3,SSAP,40,25,1981,1,3
4,5,1980,3,SSAP,40,25,1981,2,4
4,5,1980,3,SSAP,40,25,1981,3,2
4,5,1980,3,SSAP,40,25,1981,4,1
4,5,1980,3,SSAP,42,7,1981,2,1
4,5,1980,3,SSAP,42,13,1980,3,1
4,5,1980,3,SSAP,42,13,1980,4,2
4,5,1980,3,SSAP,42,14,1980,4,1
4,5,1980,3,SSAP,42,18,1981,2,1
4,5,1980,3,SSAP,42,18,1981,3,1
4,5,1980,3,SSAP,42,19,1980,4,4
4,5,1980,3,SSAP,42,24,1980,4,2
4,5,1980,3,SSAP,42,24,1982,1,1
4,5,1980,3,SSAP,42,25,1980,3,2
4,5,1980,3,SSAP,42,25,1981,1,3
4,5,1980,3,SSAP,42,25,1981,2,2
4,5,1980,3,SSAP,42,25,1981,3,2
4,5,1980,3,SSAP,42,25,1981,4,1
4,5,1980,3,SSAP,42,25,1982,2,1
4,5,1980,3,SSAP,42,28,1980,4,1
4,5,1980,3,SSAP,44,13,1980,3,2
4,5,1980,3,SSAP,44,13,1980,4,5
4,5,1980,3,SSAP,44,13,1981,3,1
4,5,1980,3,SSAP,44,14,1980,4,2
4,5,1980,3,SSAP,44,18,1980,4,1
4,5,1980,3,SSAP,44,19,1980,4,4
4,5,1980,3,SSAP,44,19,1981,1,2
4,5,1980,3,SSAP,44,19,1981,3,1
4,5,1980,3,SSAP,44,24,1981,1,1
4,5,1980,3,SSAP,44,25,1980,4,5
4,5,1980,3,SSAP,44,25,1981,1,1
4,5,1980,3,SSAP,44,25,1981,2,1
4,5,1980,3,SSAP,44,25,1981,3,3
4,5,1980,3,SSAP,44,28,1982,3,1
4,5,1980,3,SSAP,46,14,1980,4,1
4,5,1980,3,SSAP,46,14,1981,1,1
4,5,1980,3,SSAP,46,19,1980,4,1
4,5,1980,3,SSAP,46,22,1982,1,1
4,5,1980,3,SSAP,46,24,1980,4,1
4,5,1980,3,SSAP,46,24,1981,1,1
4,5,1980,3,SSAP,46,24,1981,3,1
4,5,1980,3,SSAP,46,25,1980,4,3
4,5,1980,3,SSAP,46,25,1981,1,1
4,5,1980,3,SSAP,46,25,1981,2,5
4,5,1980,3,SSAP,46,25,1981,3,3
4,5,1980,3,SSAP,46,25,1982,3,1
4,5,1980,3,SSAP,48,13,1980,3,1
4,5,1980,3,SSAP,48,13,1980,4,2
4,5,1980,3,SSAP,48,14,1980,4,1
4,5,1980,3,SSAP,48,19,1980,4,1
4,5,1980,3,SSAP,48,24,1980,4,1
4,5,1980,3,SSAP,48,25,1981,1,1
4,5,1980,3,SSAP,48,25,1981,3,2
4,5,1980,3,SSAP,48,25,1982,1,1
4,5,1980,3,SSAP,50,24,1980,4,1
4,5,1980,3,SSAP,50,24,1981,2,1
4,5,1980,3,SSAP,50,25,1981,4,1
4,5,1980,3,SSAP,52,24,1981,1,1
4,5,1980,3,SSAP,52,25,1980,3,1
4,5,1980,3,SSAP,54,24,1982,1,1
4,5,1980,3,SSAP,56,25,1980,3,1
4,5,1980,3,SSAP,56,25,1980,4,1
4,5,1980,3,SSAP,58,7,1981,1,1
4,5,1980,3,SSAP,58,13,1980,3,2
4,5,1980,3,SSAP,58,13,1980,4,1
4,5,1980,3,SSAP,58,14,1980,4,1
4,5,1980,3,SSAP,58,24,1980,4,1
4,5,1980,3,SSAP,60,24,1980,4,2
4,5,1980,3,SSAP,60,28,1980,4,1
4,5,1980,3,SSAP,62,13,1980,3,2
4,5,1980,3,SSAP,64,13,1980,4,1
